,Sentence,Label,codemixed
4,"I completely agree with your viewpoint.
But look at this from another perspective, the normal human character that we
are discussing in the video, it's basically the life that we are living, what
these movies are based upon the saying is 'the grass is always greener on the
other side' so in 2-2.5 hours in which a person is paying money to get
entertained, he wants to take a break from his current life and now if this
break is in some sort of fantasy-fabicated-reality then there is nothing wrong
in it. ",0,0
7,No exceptions,0,0
8,I'm your Big fan,0,0
10,We have to hang our head in shame with the so called elected representatives behavior.,2,0
11,When interest rates are historically low in all these countries demand is this dismal imagine what will happen when interest rates going to reverse ...,0,0
12,Very good review,0,0
16,Nick,0,0
18,Superb movie,0,0
19,Throw them out of India as well,2,0
24,"Open retaliation is must not commando surgical strike operation .
Direct attack on Pakistan is must and kill 1-2 lac soldiers of Pakistan. ",1,0
25,"Iam straight. Bt am really happy for u all, who r open minded about their
sexuality. And congrats for ur victory... ",0,0
27,Super man,0,0
28,RSS agent,1,0
31,Please visited my channel enjoy hot sex video,0,0
32,He should banned for Railways and in all public transport.,2,0
34,"Mediocracy meets perfection, there comments are nothing but Karan's insecurities. She put it on a plate for him, he still doesn't get it. She said comments like these only inspire her to work harder not run away you fool. ",1,0
37,*are,0,0
38,"dont blame her,  
she is in tripping mode ",0,0
40,Mr. Rahul Gandhi confused his stash of black money to be white money. It's the irony of being too raw for politics and given responsible and leadership roles as a handout just for being the poster baby.,1,0
41,wheres the outrage from the lefties on this then?you know you made the right decision when Muslim countries dont even want fellow Muslims allowed in!,1,0
42,The photographer we hired for a marriage is demanding 60000rs in cash. Where should we complain?,1,0
48,So we should have the right to recall law to teach lesson to such people.,2,0
49,@MASK World little bit over,0,0
50,Respect,0,0
52,Well india being pakistani i truly support this act of pakistan govt to make ur 8 pieces,2,0
54,"Before demonetization, how many BJP Leaders informed in advance by Mr. PM? ",1,0
55,Part 2 please,0,0
58,I just love how two women shout over each other about another women.,0,0
67,Americans stand by Israel!,0,0
68,"Why is this video not trending where as the video ""not a film review is"".
Thankgod someone spoke for the good in Kabir Singh. ",0,0
69,"Anuj my question for 3rd consecutive day,:( view on delta corp? 
All stocks have recovered but delta is yet to after demonetisation. ",0,0
72,I appreciate your honesty and courage to speak truth,0,0
73,BJP running MCD for ten years. If people still vote for BJP that means they feel that nobody else can manage it better and the present state of Delhi is the max standard we can achieve.,0,0
74,"Disappointed Sonu ,don't think you understand religion ! Go live in the jungles ",2,0
76,"N now maneka gandhi on movies wow 
its like watching something in india nowadays is also a crime 
from further on movies will be on bdsm n femdom to respect women 
:p ",2,0
78,"I'm also victim of false 498a case. Great job man. God bless you. You are my
hero. ",0,0
87,Love you sir i am from canada,0,0
89,Fake,0,0
90,"They never admit their crooked deeds.  & don't believe them, they are rogues. ",2,0
91,"I personally feel, Muslims should not live in density in any city or state in India. Wherever we are in masses, these things are taking place. As it becomes easy to hide for terrorists in those places. I may be wrong also. ",2,0
97,Come on bajaj. There's a bike to launch. Cut the trash,1,0
98,Appointment of a director can be in board meeting but cannot be by board of directors as per companies act,0,0
99,Haha trying to legitimize their claim and show the world they are victims. Bloody fanatic media,2,0
100,Love it,0,0
101,Surgical strike on informal sector for paving a path to corporates under the shadow of JIONGOISMÃ°Å¸Ëœâ€šÃ°Å¸Ëœâ€šÃ°Å¸Ëœâ€š,1,0
104,I really appreciate your thoughts on feminists.,0,0
105,Yes they are great for anyone needing an affordable place to sleep.  Much better than sidewalk tent.    Pick up a 100 pop cans a day and you can afford.,0,0
