,Unnamed: 0,id,tweet,offense,codemixed
1470,1470,1.5986634327815987e+18,@MASK @MASK @MASK @MASK @MASK @MASK @MASK @MASK @MASK @MASK Heartiest Congratulations💐,0,0
4460,4460,1.5858670913194555e+18,"@MASK @MASK @MASK @MASK @MASK @MASK @MASK @MASK @MASK Not that the slave doesn’t know it. It has become an addiction of these sycophants to keep deifying Nehru Gandhi family. And they wanted to ram the same habit down our throats through their propagandist text book, typical commie style!",1,0
2388,2388,1.5835428872449595e+18,is covid-19 still a thing of have they deemed it down to a common cold ?,0,0
2915,2915,1.5771909296977674e+18,"This Garba nonsense against Muslims and Dalits happens every year. Yet people keep going back, get their asses kicked and give the Right Wing fodder of Love jihad and entertainment of beating Dalits up. Insanity is doing the same thing everytime hoping for a different outcome ",1,0
4579,4579,1.5858783242822124e+18,"@MASK The link you shared clearly says their relationship was platonic. How low can you stoop ?  No matter how much you try to taint Nehru's image, the fact remains that he was way above the league of your bosses !",0,0
536,536,1.5820052757328814e+18,@MASK @MASK @MASK @MASK @MASK Make that attempted rape,0,0
2317,2317,1.5835476968617615e+18,@MASK There are no vaccine mandates for Covid-19 vaccines for kids. Stop lying. A CDC recommendation is not a mandate.,0,0
3713,3713,1.585853339199099e+18,Year 2009   - ODIs - 1198 runs at 70 avg 85 SR  - Highest in the entire world  - ICC ODI player of the year  - Tests - Number one Ranking  - 369 runs at 92 avg  - Cap and WK of both ICC ODI and Test teams of the year  - Good IPL  The only failure for him that year was T20 WC,0,0
1598,1598,1.5820571521220936e+18,"@MASK @MASK @MASK @MASK @MASK Probably the eliminating of systemic barriers, the victims of stuff like rampant land theft and lynching giving compensation, and a justice system that works? ",0,0
5061,5061,1.5800875752424527e+18,"Chidambaram: So first ques was procedure. Second is why, if the Act confers the power, were separate laws enacted in 1946 and 1978? The Govt then thought that this power did not exist.  #Demonetisation #SupremeCourtofIndia ",0,0
1672,1672,1.581975334588625e+18,@MASK To me the connection is clear: for eg. you brought up UT making a statement for Bilkis. So ideology - full marks(although just a few years back they were lynching Tamils etc). But see how he is still receiving support from the BJP for his candidate! Is that ok?,0,0
2911,2911,1.5771972872472123e+18,"@MASK @MASK @MASK Very unfortunate, i am happy That India have become 5th largest economy, once they were far behind Pak in Every sector, its our fake love for Jihad and I am sorry Madrassas can only produce Janoonis Not Businesmen mind people. You know the failure rate of start up is 95% in Pak😟 ",1,0
1931,1931,1.575155575520129e+18,@MASK You forgot to remove the blue color in the logo. Just a bit of saffron and the conversion is complete,0,0
5272,5272,1.578640811092476e+18,"@MASK To understand this we need correct paradigm- Its NOT about ""distribution""; artificial demand thru doles. Fact- HUGE productive network of MSME entrepreneurs destroyed thru informal sec ruin via 2G+CoalBlock deallocations, Demonetisation & GST. They were producers NOT dole seekers ",0,0
4457,4457,1.5847857775981363e+18,@MASK @MASK Indira Gandhi married to Firoze khan so logically Indira is the muslim PM of India. MMS was the mist minority PM even less than muslims. APJ was Muslim president and Hamid was Muslim VP for 10 years.. Any hindu CM of JK after independence?,1,0
2474,2474,1.583690995807703e+18,@MASK With so much debt you hired a maid & didn't think you could do your own chores & save some money. You are jobless after all. I am sure you have enough time to clean your own house & utensils.   Just saying man. Helping you save money & get back on your feet. Good luck. 👍🏽,0,0
2330,2330,1.5835470605064847e+18,"@MASK Hochul will most likely take the CDC recommendation and include the Covid 19 shots for kids to attend school.  @MASK already confirmed he would not. She has yet to answer my question about this, which I posed this morning. NY needs to hear her position on this. ",0,0
3452,3452,1.5808249985579295e+18,Oh my God I'm so happy that Prof. GN Saibaba is finally going to be out of jail but sad at the same time that so many of his years were lost due to draconian laws like UAPA — where the State can incarcerate you for years without any substantial evidence.,0,0
4965,4965,1.5801936087364813e+18,@MASK Thank God someone reminded the benefit of demonetisation after such a long period.,0,0
21,21,1.581901547952218e+18,@MASK You silly Soul need to revisit the images of Demonetisation,1,0
3648,3648,1.5857782114847334e+18,@MASK @MASK @MASK how many matches are they going to play even their IPL is supposed to have 3 teams So nothing greats happening if BCCI were given control of Indian football then India would have burst into the top 50 in the men's also the women's after all the entire world plays and pays it,0,0
431,431,1.581999477640278e+18,@MASK You mean the green new deal act. Let’s call it what it is! The inflation fueling act! Restart the pipeline open off shore drilling and close the border! You are turning our country into a sh..hole!,1,0
3853,3853,1.5856930589010862e+18,@MASK @MASK In your dreams babe. IPL turnover is more than Pak budget,0,0
164,164,1.5820201441794455e+18,@MASK You'll notice that they never say busting up corporate monoplies in critical industries is the way to beat inflation.,0,0
4520,4520,1.5851414053324183e+18,stop making it look like rosé hates the girls bc she isn't the bad person that y'all paint her out to be. they're basically sisters and nothing will change that go cry about it somewhere else,0,0
232,232,1.5820197466353172e+18,@MASK Inflation is a global issue.,0,0
507,507,1.5820060760099471e+18,"@MASK We deserve Brexit. Thankfully the next generation are more global focused and don't have grandparents benefiting from the public services rape of the Tories. Stories from their parents of being able to catch a bus, buy or rent a house etc. then lookup how Tories fucked that. ",1,0
3006,3006,1.5768585010741248e+18,@MASK Their goal is love jihad don't you know what is their ideology,1,0
716,716,1.5817676645483438e+18,@MASK @MASK @MASK @MASK @MASK @MASK @MASK @MASK @MASK @MASK @MASK @MASK @MASK @MASK @MASK @MASK @MASK @MASK @MASK @MASK @MASK @MASK @MASK @MASK @MASK @MASK @MASK @MASK @MASK @MASK @MASK @MASK @MASK @MASK @MASK @MASK @MASK @MASK @MASK @MASK @MASK @MASK @MASK @MASK @MASK @MASK @MASK @MASK @MASK @MASK Rape Boy is exactly one of those idiots.   He's also a marital rape advocate.,1,0
3832,3832,1.585700649106575e+18,"@MASK Yeah,,  only play IPL against local average club bowlers,, do not ever think to play international cricket again..",0,0
2956,2956,1.5770721101402153e+18,"@MASK @MASK Mere words. On the contrary daily atrocities committed by Muslims against Hindu. Love Jihad, gang rapes, murders, breaking idols, throwing flesh at temples, forcing cow meat on women, attacking Hindu professions. THESE are what’s actually done by religion of peace everyday. ",1,0
3541,3541,1.585856765974827e+18,"@MASK @MASK @MASK @MASK @MASK @MASK No point arguing. Gender equality is a far fetched dream in a land of Male chauvinist pigs. This chauvinism is on account of their own inverted superiority complex   And women folk, don't beg for special treatment in any sphere. Earn it by your abilities",0,0
1457,1457,1.5986707389781484e+18,"With his passion to do something new, he started the company IDR Research and Development Pvt. Ltd. with two more partners. Indian Defence Reforms is a digital platform, that shares daily defence updates related to the Indian Army, Navy & Airforce. ",0,0
5041,5041,1.58009316417382e+18,"Chidambaram: It must be discussed first in the RBI board.. here a virtual command comes and you pass a resolution in 24 hours. At some stage, your Lordship has to look into these documents.   #SupremeCourt #Demonetisation ",0,0
3590,3590,1.585848728623014e+18,@MASK @MASK @MASK Excellent,0,0
1698,1698,1.5790170148948255e+18,@MASK Just like he declared India open defecation free 2 years ago. Just like he laid the foundation stome of Madurai AIIMS and Dholera Smart City.,0,0
3062,3062,1.5835962888805417e+18,"@MASK A ""revisionist state"" is one that does not accept the geopolitical landscape the US carved out post-WW2.  The guys who don't like that the US has more military bases around the world than everyone else combined. ",0,0
2877,2877,1.5389319664727695e+18,"@MASK Uff. These hinduphobics. So blind in the hatred of a community, that they refuse to accept a fundamental right of a Hindu women to practice her religion. And then these ignorant hinduphobic feminist would cry bucket for triple talaq abolishing or choice to wear hijab. ",1,0
249,249,1.582019656365187e+18,"@MASK The GOP has many complaints about inflation. Yet, when they had control all they did was give a tax break to corporations.  A complaint without a solution is whining. ",0,0
4530,4530,1.58496930344695e+18,"@MASK But now politicians of ""family owned & operated"" parties are jealous in personal hatred of a democratically elected PM of the country just because he has been fighting tooth and nail to eradicate corruption from India   Modi is ""divine"" & come back again even with bigger mandate",1,0
1847,1847,1.575530829714858e+18,@MASK @MASK @MASK @MASK He is the same guy who falsely put a isro scientist in jail?,0,0
456,456,1.58199931251021e+18,"@MASK if you think that an 8.7% increase is going to cover inflation, explain how eggs are up 400%, gas is up 50% since 2020. It’s time your retirement Benifit’s are SS and not full pay for life. Live like real Americans!! ",1,0
4344,4344,1.5859111187859374e+18,✨🙏manifesting commissioners🙏✨,0,0
168,168,1.5820201199242117e+18,"@MASK @MASK @MASK i do not get it i think it is the inflation thing which is all over the world and at higher rates, I am having twitter trouble can you reply so i can see of my tweets ar e going out thanks, ",0,0
5172,5172,1.579539315935568e+18,"@MASK @MASK @MASK Demonetisation disaster, GST goof up, splurging of funds on non essentials, huge scams in every ministry.Frightened of even naming China aggression, deep spread of hatred in society, mainstreaming thugs, illiterates and frauds. These are few great contribution of mahadanav. ",1,0
363,363,1.5819999655297267e+18,@MASK I think if either of said Billionaires makes an inflation joke over the cost of buying said platform then we reach peak American.,0,0
4382,4382,1.5859094013950031e+18,"@MASK To show how useless the police are, why don't people sit down in the road entrances to police stations. Lets see if emergency vehicles are important to move freely and the people sitting down are dragged away and arrested for obstruction. one rule for one!",1,0
4536,4536,1.584931431700398e+18,i can talk about rosé for hours im down bad sorry,0,0
622,622,1.582002412084396e+18,"@MASK @MASK @MASK @MASK @MASK Isn't it odd that Christians have no issues with forcing a book full of murder, rape, slavery, abuse, and incest on children...but act like talking about sexuality is going to ruin them🤔 ",1,0
479,479,1.5819991363284047e+18,"@MASK @MASK @MASK @MASK @MASK That’s not what it demonstrates at all.  Biden made certain decisions early on in his presidency, right.  None of them could’ve contributed to the inflation, even the world inflation, right? ",0,0
2033,2033,1.583423376898392e+18,"@MASK @MASK No, his state was culpable for the deaths of over 6,500 migrant workers instead ",0,0
420,420,1.5819995433482445e+18,"Weekly reminder that thanks to the Inflation Reduction Act, thousands of Georgians will save an average of $600 per year on prescriptions. Democrats are delivering! ",0,0
903,903,1.5754362817396408e+18,@MASK @MASK She can file 498a on the person which is different. No penalties are issued by SC on marital rape yet. It only recognized it wrt abortion,0,0
709,709,1.581845720977789e+18,@MASK Then what about marital rape?,0,0
5098,5098,1.5800747040730276e+18,Justice Nazeer: Let us hear what they are saying.. are you saying let's not begin today?   AG: That would be desirable.. it'll be a structured way of taking the time of the court.   Justice Gavai: Let us hear them today.   #SupremeCourt #Demonetisation,0,0
2095,2095,1.5834161300177756e+18,"@MASK @MASK Somebody is happy for vulnerable migrants, who were trafficked by criminals  dying/injured all the time crossing that southern border ",0,0
4578,4578,1.5858785884901253e+18,@MASK @MASK Fire burn impurities. What comes out is gold.,0,0
3310,3310,1.3648212993993032e+18,@MASK @MASK Watch Khan Sir's episode on Farmer's Bill.  You can easily notice his ambition to become MLA of AIMIM.,0,0
3115,3115,1.5835906803243663e+18,@MASK You like to spout endless problems. Can you post some actual solutions for once not just One Nazion memes.,1,0
3460,3460,1.5807719741374177e+18,@MASK No UAPA it's reserved for..............?,0,0
4239,4239,1.1435100458391183e+18,@MASK @MASK @MASK Most of the Jails in our country are over populated by detention of  undertrials. Among them a large percentage are either Falsely Implicated or First Time Offenders. But due to strong opposition or media hype such people are not granted bail and languish in Jails for years..1/2,0,0
1908,1908,1.5752268825720627e+18,@MASK @MASK @MASK kids make better than it🤣🤣,1,0
2094,2094,1.5834162035103048e+18,@MASK But it often means that whole families are quarantined and parents can be separated from their children. It’s creating behavioral changes. Parents go shopping separately to make sure at least one is with the kids. And most migrant workers have left places like Shanghai.,0,0
3173,3173,1.5835841613609288e+18,@MASK JFK would have made a secret deal to ensure peace and de-escalation months ago.,0,0
975,975,1.568971984213799e+18,"@MASK @MASK People r saying for gender neutral to marital rape law... But problem is here... In most cases victim is always women, bcz she is physically, economically, socially weak(now I have no time to explain, how it is), if we will make it gender neutral...man will become more powerful😡 ",1,0
3207,3207,1.5835807260159304e+18,The Scratch Orchestra pretty much disbanded when Cardew became involved in the Revolutionary Communist Party Of Great Britain (Marxist-Leninist) and he subsequently went in to decline as a composer.,0,0
1792,1792,1.573585200940028e+18,"Worldwide,2.2 billion people still lack access to safe drinking water. More than half of the global population does not have access to safe sanitation.Three billion people do not have access to handwashing facilities with soap.673 million people practice open defecation UNICEF ",0,0
1591,1591,1.58e+18,@MASK MADAM @MASK should be sacked immediately for propogating one sided story and defaming the victim who had lost his life post lynching by the goons. Atleast before commenting police should have seen the victim's face which is available freely over the internet.,1,0
4511,4511,1.5858366641186035e+18,@MASK @MASK Lmao. He overpaid for a social media company and you all are treating him like Gandhi. Go back to doing what you do best: losing people money.,1,0
4753,4753,1.558809281687855e+18,Is this true?  M.S. Golwalkar said in his 1966 book Bunch of Thoughts that Tricolour was ‘not inspired by any national vision’. He never respected Tiranga.  Tiranga Virodhi RSS,1,0
2404,2404,1.5835415410201887e+18,The CDC has added COVID-19 vaccine to its list of recommended childhood vaccines. Whether this vaccine becomes mandatory for kids attending schools in PA depends on who is elected in November. Mastriano and Dr. Oz are AGAINST mandatory COVID-19 vaccines for kids.,0,0
3278,3278,1.3746781723194204e+18,"@MASK Hey @MASK it's your prerogative to use every one of BJP's misgovernance to your advantage. Farmer's bill (they'll never take it back 'cause is an ego thing), petrol rates, CAA n other issues to bring them down. Unite all farmers across the country. . ",0,0
4678,4678,1.5573577805282918e+18,"@MASK With this being said, does he reject golwalkar’s bunch of thoughts ?",0,0
3992,3992,1.5538164963163707e+18,"In a country where people get arrested without evidence, where undertrials languish in jail for years, where 48 million cases are pending before courts... In a country where might is increasingly right, how can I look away, and pretend that all is well? I can't. I just can't.",0,0
887,887,1.5754405580548424e+18,@MASK 498a covers mental and physical cruelty. Husband can still be jailed for physical and mental cruelty under 498a which happens with marital rape. Unless you think marital rape doesn't do any cruelty on woman.,0,0
