,Unnamed: 0,id,sentence,label,codemixed
1,1540,24631,@USER @USER @USER @USER @USER @USER I will admit she hasn’t charted and I blame that on the fact that she is an artist she does things her own way and sometimes not following the trends or staying in a mold will cause you to fall out of the “relevant spotlight”,NOT,0
4,11621,18315,@USER get your shit together,OFF,0
6,4548,79816,"@USER @USER I wouldn't say cowardly. She is brave! I mean He"". :)""",NOT,0
7,853,30198,@USER Check in at the Fake Shooting. URL,NOT,0
8,4535,27795,@USER Fast and furious criminal should be behind bars.,OFF,0
10,3502,92027,@USER Where is the fascist version of Antifa?,OFF,0
13,1740,70473,@USER you are a traitor URL,OFF,0
14,5634,93827,@USER shit!! i left a little bit ago to get food but if you're still there i'll drop down with all the paper your heart desires!,OFF,0
20,11650,78851,What the hell are these leftys talking about.  They will say anything to stop Maga. URL,OFF,0
22,12644,49549,@USER This just proves that liberals have no shame whatsoever. He’s a deceiver and a proven liar. Has the nerve to speak of “casting a shadow.”,OFF,0
23,7635,54858,@USER He is what the industry stands for. All about spreadsheets and no care for the human side.,OFF,0
24,4725,56332,@USER Goodell should have been fired over a year ago. Looks like the owners will let him steer the ship right into the iceberg. Oh well.,NOT,0
25,2984,98366,@USER White Nationalist and Nazis arent the same. Also at this point I'd prefer nazis tbh,NOT,0
26,11884,36902,@USER @USER As suspected this is about derailing Judge Kavanaugh’s confirmation because he is a conservative and will adhere to the Constitution and the law. He’s not an activist judge which is what they want.,NOT,0
27,6564,19287,@USER @USER I’m glad you do babe (I kiss you back) now let’s get going you are coming tomorrow to the final right babe,NOT,0
29,6880,68143,@USER Get that boy a pie! Stat!,NOT,0
30,3727,91953,@USER @USER She’s trolling to fuck with you cause some of y’all be quick to call mfs coons for minor disagreements,OFF,0
31,11219,94516,"@USER @USER And Lambda would be on the lower end, as others are saying on the high end is trying for influence.  Anyway, you are right in that I wasn't using better investment"" exclusively from a $ return PoV, but from a ""quality of life return"" PoV... some of that is money but not all.""",NOT,0
32,10081,18071,@USER BOYCOTTING the National Fools League URL,NOT,0
34,11751,52779,@USER @USER @USER @USER Oh God. This hurts my brain. No one can libel anybody. Internet companies can control thier content in any way they want. But claiming Twitter is libeling Jones is an entirely separate issue from the bullshit censorship claim.   Just...work it out before you tweet.,NOT,0
36,2276,98457,Time to visit Banbury Team!  URL URL,NOT,0
40,6846,55028,@USER He should be removed with the rest of the islamic invaders.,OFF,0
41,10932,26634,@USER @USER Doesn't mean you are just fighting for the money. He loves to fight and wants to make the most money he can while doing it.,NOT,0
42,4554,83923,@USER @USER @USER @USER If you are running a top 3 offense every year &amp; still get fired from Pitt there are concerns. As talented as he is players don’t like playing for him you have to have balance can’t be in your face 24/7,NOT,0
43,2901,31355,@USER Just PM you the 1st part of the debate for Sunday on Gun Control &amp; the 2nd adm,NOT,0
47,6899,45021,@USER you are the Mexican Venus,NOT,0
48,12166,15112,@USER this girl called herself tryna call me ugly. i had to show her how ugly she is.,OFF,0
49,5351,90547,@USER CP24 as usual interviewing only liberals with negative reviews.,NOT,0
50,11448,72866,@USER @USER Tis funny you assume I’m left or a supporter of antifa even though I dislike nazis. You’re still a ball washer though.😁,OFF,0
51,10402,71527,@USER Fuck you are killing me lately 😂,OFF,0
52,3407,79718,-Conservatives cut police funding -person complains about crime -person votes conservative to tackle crime  ?,OFF,0
54,9588,51593,@USER There are more good people than criminals.  If the good people are armed the criminals won’t stand a chance.  In the USA the cities with the highest violent crime rates are those with the strictest gun control.  The Swiss are all armed and trained - violent crime is rare.,OFF,0
56,9920,93580,@USER BURN  your Nike gear.  Everyone I know is done buying Nike.  Oops. Conservatives are the ones buying from Nike.  After all we r the ones making the money  There’s way way more of us    🖕Nike,NOT,0
57,5708,16645,@USER Sounds like hot lesbian sex to me.,OFF,0
59,2798,89985,@USER Hey Doug. We had a large amount of contacts recently. We apologize for any inconvenience this may cause you. Are you referring to your tweet about the blue screen crash on PS4?,NOT,0
61,2211,50894,@USER @USER They need to add more gun control laws and Democrats to run things.  They have more of both than areas with much much less crime.,NOT,0
62,10102,47366,@USER Going about it the wrong way,NOT,0
63,9062,49545,@USER And here we go !!!,NOT,0
65,2417,77463,3. @USER You’re my lil baby and I’m so proud of you for working as hard as you do. Thank you for still being there for me like you are. You’re the sweetest 💕💕 don’t ever change,NOT,0
67,8038,49584,@USER She is the worst. But what can you expect when you consider what she has to personally gain from his confirmation,OFF,0
69,3119,62905,@USER But they’re still the number one Fake News Network.,OFF,0
70,3900,58871,@USER Criminals are running scared!,NOT,0
73,74,64429,@USER I mean it worked for gun control right? URL,OFF,0
74,242,48060,"@USER @USER @USER And don't forget his telling a primarily black liberal audience conservatives want to put them back in chains""""",NOT,0
75,2320,22694,@USER Perfect example of a country with gun control. I bet those guys were happy the criminals didn’t have guns.,OFF,0
76,7605,75943,"@USER It's hard to believe you are 39.  I remember you as the cute first daughter"" in the White House.  I voted for your dad twice.  You have been a true force for good.  Thank you.""",NOT,0
78,9735,58211,@USER @USER Are you freaking serious.  3900 lives lost. Trillion dollars in recover and rebuild. Continued threats and fear.   You are a disgrace to journalism.  You moron!,OFF,0
79,9540,75584,@USER i think its because he is remaining this pure sweet thing,NOT,0
81,8816,20936,@USER my mom left me a whole big squash. Any recipes you recommend I can do with a squash ??😅,NOT,0
82,11173,81273,@USER Good.  He's a mess,OFF,0
83,796,49326,@USER Apparently this POS doesn’t know that Viacom bought out BET. It went from black ownership to white ownership🤣🤣🤣🤣🤣🤣,OFF,0
84,4936,38101,@USER Cool!,NOT,0
85,4155,61307,@USER @USER That's a simplistic comparison. Population density and poverty levels are big contributors. You need a massive cultural shift and constitutional amendments for gun control to be effective like in other countries.  In the mean time people will keep dying.,NOT,0
86,4671,80651,@USER Go crash another plane.,OFF,0
88,2044,79998,@USER @USER So death tolls are determined by studies and computer programs?,NOT,0
91,9621,24903,@USER What you are doing is so moving and I appreciate everyone!,NOT,0
92,4382,22902,@USER all conservatives are bad people,NOT,0
93,7548,65469,@USER can you pls get rid of holly he is so uneducated of sports. Wheb you have sportscasters who have been throgh the sport and are professional in their presentation he looks like a joke,OFF,0
96,3765,90051,@USER @USER It's her choice her life...why would you want someone at your wedding if they don't want to be there. At least she is being honest .,NOT,0
97,12377,71268,@USER May as well ignore her since all we are doing is giving her the attention she so craves.  She was such an adorable child..... but she never had a good enough body for nude love scenes so now she is searching for the attention she desires with bovine fecal posts.,OFF,0
98,10864,77688,@USER Did you go to the south side where thousands have died? Strictest gun control policies in the country and they don’t work.,OFF,0
100,5324,10455,@USER Smearing Supreme Court Justices now?   What's next for the ultra-left nazis liberals.,NOT,0
102,209,44448,@USER Please shut up Ontario is seeing what conservatives stand for @USER is not helping you loose this province your never going anywhere.. Not they you will any way your completely out of tune with Canadian Mr. Harper oops I mean Mr. Scheer common mistake you so much alike.,NOT,0
108,3720,14433,@USER @USER Jen doesn’t wear pearls.  And what she is ‘clutching’ is justice and righteousness and the hope that we ALL can do better and be more than we are in these horrific moments.,NOT,0
110,6941,80374,@USER because what every lie you are telling if it happened when you were children the guy is a man and I clearly don't believe shit like that happened. Its just another stall tactic by the liberals.,OFF,0
112,5651,26341,@USER She is a trained psychologist of course she can pass a lie detector test.,NOT,0
