,Unnamed: 0,id,tweet,offense,codemixed
5388,5388,1.585862309313798e+18,@MASK @MASK Why ban on RSS and not on Muslim league?Nehru did alliance with Muslims league in Kerla to run the government in Kerla?Why every Muslim countries don't have equality rights for every citizen.,1,0
692,692,1.582004783165997e+18,@MASK @MASK @MASK If u mean saint as in I've never attempted to rape or violate anyone then yes I'm a saint.,0,0
8738,8738,1.5613346799779348e+18,"@MASK @MASK That time we were on the edge to start the democracy 😏😏... He's talking about 1947 when india pakistan both were just indipendent... Kashmiri people want to join pakistan ... But golwalkar , sardar patel & king of kashmir wants to be in india...",0,1
6290,6290,1.5858566052537016e+18,@MASK This guy truly deserve IPL contract....👏,0,1
8663,8663,1.5653183886453514e+18,@MASK yeah right I have enough time for rightwing trash ... Have u read Golwalkar (mentioned in your facebook references) & his experiments with eugenics? If that is not racism ...,1,0
2887,2887,1.5834272763176755e+18,"@MASK Migrants living the American dream, Americans not so much. ",1,0
9052,9052,1.5804380632677376e+18,@MASK What's  the source of this data? It seems to be hoax. And still demonetisation was so bad decision by Modi govt. It's primary purpose was get blackmoney? Where blackmoney gone??,0,0
9548,9548,1.5798244571408343e+18,@MASK Without Covid and demonetisation It would have been 4 trilion,1,1
9440,9440,1.580079571508269e+18,"Chidambaram: To say that this cannot be examined because it's economic policy.. Justice Ramasubramanian's judgment is on crypto currency, examined on proportionality.   #SupremeCourt #Demonetisation ",0,1
4960,4960,1.5809490796804383e+18,@MASK @MASK Bechare bhobhale adivasi ko thug ne nikle ho...,0,1
9785,9785,1.5780895166904689e+18,@MASK Are you gonna have micro chip currency like we have after demonetisation in India 🤔,0,0
8037,8037,1.5858758062150574e+18,@MASK Nehru is true lover of Edwina,1,0
900,900,1.5817068466785772e+18,@MASK that's the definition of marital rape...,0,1
7315,7315,1.58591065342396e+18,@MASK @MASK @MASK Meanwhile Recession looming sky-high inflation gas prices still high food shortage at grocery stores depleted strategic EMERGENCY oil reserves VIOLENT CRIME SPIKING IN LIBERAL RUN CITIES WIDE OPEN BORDERS WITH ILLEGALS AND FENTANYL POURING IN KILLING OUR YOUTH,0,0
4267,4267,1.5831878337909965e+18,"@MASK @MASK @MASK I am questioning Muslim women.    the other have the full rights to object wearing hijab, they're not Muslim at the end. ",1,0
9321,9321,1.5800974350028964e+18,"@MASK For those who say demonetisation was a failure , pls note   ➡40% increase in Income tax fillings ➡60% more tax ➡2 cr new tax payers ➡Lower EMIs ➡Lower property prices ➡Lower Inflation ➡wages thru ECS ➡Formalisation of informal sector ➡Less Naxal & terror activities ",0,1
6468,6468,1.58572569198712e+18,@MASK koli Saab has won 5 IPL titles scoring those huge runs while rohit is struggling for even 1,0,1
1121,1121,1.5754410399593964e+18,"@MASK I hope the Health care Industry progress further and generate artificial womb, artificial bodies for sex and all. Naa shadi kee jarurat rahegi Naa sex kee. Na koi marital rape hoga aur nahi abortion. ",0,1
2439,2439,1.5785380679665992e+18,@MASK @MASK @MASK Don't trust someone where open defecation is still a problem in the society they come from 🫤,1,0
9885,9885,1.5769735745185055e+18,@MASK Lol. There was a time when your ilk said demonetisation is the best thing that happened and there will be chips on ₹2000 note hailing one jhumlajeevi,1,1
2413,2413,1.5819642254169457e+18,"@MASK @MASK @MASK @MASK You have no clue about what is mob lynching? If you want to know go and check how a SriLankan man got killed in Pakistan. And France event was legal because it was as per sharia, isn't it flat earth people? 🤣😂 ",1,0
8322,8322,1.582588533067612e+18,@MASK Ek tadi par vyakti  ki tulana  sardar Patel se nahi ki ja sakti,0,1
674,674,1.5820051485906125e+18,@MASK @MASK @MASK @MASK @MASK @MASK @MASK Ha. A prison rape joke. You should be proud of yourself for being so hilarious.,0,0
5004,5004,1.5808363342303928e+18,@MASK त्याचीच गरज आहे ह्या साहेबांना.,0,1
210,210,1.5820203336404375e+18,@MASK @MASK Just like the trillion tax break trump gave to the rich and created the inflation were in now,0,0
6832,6832,1.5535757136633815e+18,Modi calls for speedy release of undertrials. To whom he is appealing as a Prime Minister? Is it a subjective matter? What exactly he can do as a PM?,0,1
