,Unnamed: 0.1,Unnamed: 0,id,sentence,label,codemixed
6474,6474,10100,67598,@USER @USER Not one for anything to do with RUSSIAN COLLUSION which BTW is not a crime most b4 they knew DT. The ones who copped out only did so 2 save their ass. I'm just curious why none of u self righteous ppl had a problem w/ all HRC &amp; BO crimes lies spying etc? Hypocritical I'd say.,OFF,0
2291,2291,4753,65250,@USER He is URL,NOT,1
7960,7960,1079,54050,"#joebiden calls Trump supporters dregs of society. #biden organized a coup in #ukraine. His son steals $B from ukrainian people as they leave their country in search of jobs. @USER #maga #potus @USER @USER #zog""",OFF,1
4295,4295,1413,43459,@USER Beto-male,NOT,1
4373,4373,12094,60250,@USER shit doesn’t feel real to me. then again... life is very whack and i don’t like how it’s set up to begin with so. idk.,OFF,0
677,677,6809,86104,"@USER @USER @USER Hey Mary, did you see this on your profile followed by no one you know"" Twitter trying to keep conservatives from connecting. #StopTheBias URL",NOT,1
5687,5687,9500,30311,@USER Bitch better serve,OFF,0
8379,8379,3120,98827,@USER @USER @USER No he was not! He scary as hell thats what he is!,NOT,1
6349,6349,9236,49588,@USER @USER Ouch.,NOT,1
7795,7795,3273,28864,@USER @USER I hope so; conservatives must go vote.,NOT,0
4311,4311,8894,42484,@USER @USER @USER @USER Not a conservative. Antifa is a left wing terror group that uses fascist tactics and violence to silence opposing views. They are NO DIFFERENT than the “Sturmabteilung” brown shirts. Thugs. URL,OFF,1
9167,9167,8963,92596,Thank you @USER  #MAGA #KAG #WalkAway URL,NOT,1
7089,7089,415,82293,@USER @USER @USER @USER Interesting when Demoncraps aren't even inventive enough to create their own cartoons.  This is originally put out by Republicans - liberals are the Koolaide drinkers and always have been. Liberals are also the scum of the earth and prove it daily through their lies,OFF,0
722,722,1656,53458,@USER This shit gon keep me in the crib lol fuck it,OFF,1
590,590,10689,48868,@USER @USER @USER It is false. She is lying. Check her source.,NOT,0
4451,4451,7346,33193,"@USER Suddenly BozoObama is NOT politician""...&amp; certainly NOT that HE &amp; BillAyers &amp;DISGRACED ErikHolder started Police brutality Antifa,BLM,OWS ""movements"" &amp; didn't fund our US military as B4 for 8 yrs,but GAVE WORLD SPONSER OF TERROR IRAN $170. bil... NOOO!; not ol' ISIS-LOVER 'Bama.""",NOT,1
1357,1357,1057,21629,@USER @USER @USER Chicago has been ran by Democrats for decades.  Why is it up to the GOP to solve the problems they created to begin with?  Act is absolutely code for gun control and that's not happening nor would it help anyway.  You need 1000 detectives.  Start hiring.,OFF,0
8287,8287,12193,40451,@USER @USER Unreal!  Liberals have completely lost it and will do anything opposing our President!  Very sad!,NOT,0
3464,3464,1208,60933,@USER @USER @USER Out on the next tide would be more appropriate,NOT,1
2338,2338,10318,99630,@USER @USER #Westminster @USER #Tories @USER @USER @USER @USER Absolutely pathetic #appeasement 😠😠😠,OFF,1
3976,3976,5867,68421,"@USER Josh, thanks for including COCK-A-DOODLE OOPS! in this list of amazingly illustrated picture books!  I love Deborah Zemke's just before sunrise"" illustrations!""",NOT,0
