,Sentence,Label,codemixed
0,Mr. Prateek Nishant.....secure method?,1,1
1,Sane ppl couldn't do anything so far ....at least he has the objectives and know what's to be done so that our country  leads towards a bright and  better future...,1,1
2,Moreover that idiot is fan of Terrorist Yakub Menon,2,1
3,Shame shame & then these lowly so called educated civilised popation of Pakistan claim Pakistani army to be professional soldiers .... They true are professionals but are professional terrorists ..... Certainly not soldiers .... Not only India & Indians but the global world is now understanding & recognising them as professional terrorists.,2,1
4,"I completely agree with your viewpoint.
But look at this from another perspective, the normal human character that we
are discussing in the video, it's basically the life that we are living, what
these movies are based upon the saying is 'the grass is always greener on the
other side' so in 2-2.5 hours in which a person is paying money to get
entertained, he wants to take a break from his current life and now if this
break is in some sort of fantasy-fabicated-reality then there is nothing wrong
in it. ",0,0
5,What a covering Ã°Å¸Â¤â€Ã°Å¸Â¤â€Ã°Å¸Â¤â€Ã°Å¸Â¤â€,1,1
6,He is pimp of bjp,2,1
7,No exceptions,0,0
8,I'm your Big fan,0,0
9,Congratulations Jitu.   Excellence through hard work is your moto.  You are able to achive it.   Thanks,0,1
10,We have to hang our head in shame with the so called elected representatives behavior.,2,0
11,When interest rates are historically low in all these countries demand is this dismal imagine what will happen when interest rates going to reverse ...,0,0
12,Very good review,0,0
13,GAURAV REPLY,0,1
14,Shri Vaishak S  are we living for tit for tat? its same everywhere in the country as well around the Glob. NE just an example of our own.,2,1
15,Anthony.... not all u read is true.... everybody has a viewpoint... you speak what you feel and i will say what i feel. . you are right coz thats ur viewpoint and i am right coz this is my viewpoint... Every individual should speak for themselves. let not make other speak what we feel is right or wrong... let people decide if the country is changing for good or for bad.,1,1
16,Nick,0,0
17,You are too good......,0,1
18,Superb movie,0,0
19,Throw them out of India as well,2,0
20,Arjun reddy aka kabir singh is a master pieceÃ°Å¸ËœÂ.,0,1
21,He is bought up by bjp,1,1
22,"[0:30](https://www.youtube.com/watch?v=N_ZMfQMZos0&t=0m30s) yes yes you are
Ã°Å¸Â¤Â£Ã°Å¸Â¤Â£Ã°Å¸â€˜Â  
Love ya bro. ",0,1
23,"Hai cnbc tv 18.....brain game do watch National geographic channel there by you can recognise true and false facial image created examples actors , false smiles , etc.........muscles of your face . your brain is also highly adopt at recognizing what other peoples' faces are saying...now match your candidate also ...this comments in totality not for any particular subject please . ",1,1
24,"Open retaliation is must not commando surgical strike operation .
Direct attack on Pakistan is must and kill 1-2 lac soldiers of Pakistan. ",1,0
25,"Iam straight. Bt am really happy for u all, who r open minded about their
sexuality. And congrats for ur victory... ",0,0
26,So that Modi doesnt have to campaign separately... Feku and his never ending gimmicks,1,1
27,Super man,0,0
28,RSS agent,1,0
29,Sirish Bundar is very intelligent .. no wonder SRK had to slap some sense into him,2,1
30,Are fucker Holly ar fresh ki same ???,0,1
31,Please visited my channel enjoy hot sex video,0,0
32,He should banned for Railways and in all public transport.,2,0
33,"Kumar Gaurav
It's good for you atleast you wake up at 5am in morning ",1,1
34,"Mediocracy meets perfection, there comments are nothing but Karan's insecurities. She put it on a plate for him, he still doesn't get it. She said comments like these only inspire her to work harder not run away you fool. ",1,0
35,When the theater is almost house full and u wanna watch bahubali 2 :p,0,1
36,Burnol plz,1,1
37,*are,0,0
38,"dont blame her,  
she is in tripping mode ",0,0
39,"Such a great video shwetabhbhai keep making this kind of videos,i hope this
video gonna viral so, people could understand what's the reality ",0,1
40,Mr. Rahul Gandhi confused his stash of black money to be white money. It's the irony of being too raw for politics and given responsible and leadership roles as a handout just for being the poster baby.,1,0
41,wheres the outrage from the lefties on this then?you know you made the right decision when Muslim countries dont even want fellow Muslims allowed in!,1,0
42,The photographer we hired for a marriage is demanding 60000rs in cash. Where should we complain?,1,0
43,so??? is this news,1,1
44,People don't have rs.500 change whts logic of making a rs. 2000 note,0,1
45,If u have someone in ur mind as bheema.. Plz mention... Let me know...,1,1
46,"Bharat Mahendru So if anyone speak against Cow is a Muslim? Ã°Å¸Ëœâ€š My Hindu friends eat cow and don't care what she is for them. They call her animal only. Apart from that Hindus kill her, slaughter her, smuggle them to Pak and Bangladesh via Assam and Kashmir with the help of BSF soldiers, kick her on roads, force them to eat plastics and garbage, let them die on roads bla bla bla bla. Isn't enough that many Hindus don't care about her? Even those who worship her? ",1,1
47,"I hope Sonu Remembers Shahbaz Ali Sayyed...the boy who helped him when he was in disguise as a Street Beggar! 
I hope that was not Gundagardi but compassion.. Had lot of respect for Sonu Nigham but I pity his illogical and baseless comment that should have no place in a country like India. ",2,1
48,So we should have the right to recall law to teach lesson to such people.,2,0
49,@MASK World little bit over,0,0
50,Respect,0,0
51,He has also bashed temples...then why are people conveniently ignoring that part to religiously colour his argument ?!,2,1
52,Well india being pakistani i truly support this act of pakistan govt to make ur 8 pieces,2,0
53,"Suar,indian army Air Force have muslims, Sikhs Christian, paarsies etc as officers soilders etc(not like Punjabi (naqli) sunni(again naqli) hijdaa(asli) so called army. ",1,1
54,"Before demonetization, how many BJP Leaders informed in advance by Mr. PM? ",1,0
55,Part 2 please,0,0
56,Through dialogue it can't be resolved...it can be resolved only with the help of Forces.....,1,1
