,Unnamed: 0,id,sentence,label,codemixed
0,5952,13868,@USER @USER He is a joke.,NOT,1
2,11515,63799,Keep Texas RED #Cruz 🇺🇸 We are the MAGA CAMPAIGN,NOT,1
3,3849,76330,@USER @USER Oh shit the mafia have finally found me,OFF,1
5,1558,59711,@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER We already established that in the war you are still living. Thats why it isnt happening again,NOT,1
9,716,16085,@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER He is one of @USER strongest supporter in Washington. The Primary is over The President &amp; Senator Have put the past to rest. Ask yourself are you Supporting our POTUS By talking about fellow conservatives,NOT,1
11,6510,94169,@USER @USER SHE IS A FUCKING MESS!! I HATE HER SO MUCH,OFF,1
12,3960,96037,@USER he is doing it to everyone he don’t like,NOT,1
15,5811,30080,"@USER @USER @USER @USER @USER Brad, the God of Scripture does not have a sense of justice."" He is just and a consuming fire. He remains today what he was then but as all theonomists forget 1/2""",NOT,1
16,829,63063,@USER Well duh. That’s who he is. He defends other abusers so they’ll defend him.,NOT,1
17,7854,54287,@USER @USER @USER We’ll be there opening night! 🙌👍,NOT,1
18,2877,18604,@USER Those pesky Antifa Supersoldiers are at it again.... 😧,NOT,1
19,1316,65922,@USER @USER @USER @USER @USER The Liberals same old playbook. It is so old... yawn,OFF,1
21,10968,63492,@USER @USER I have a better idea                      Mr Guterriz or whatever his name is should resign &amp; go THE HELL back to wherever the hell his people came from for the sake of this country!!!!!!,OFF,1
28,12706,73648,@USER @USER It's a pretty awesome movement. Imagine if all men's rights wanktavists just fucked off to the woods and spared everyone their bullshit? There'd be fewer abusuve relationships and messed up kids. The sooner all the men like that go their own way into the fucking sea the better.,OFF,1
33,2285,86932,@USER Omg! She is so cute 💚💚💚 URL,NOT,1
35,9746,18688,@USER 👌🏻 I’ve never seen anyone talk like that on Twitter before and I’ve seen some really messed up shit,OFF,1
37,6684,69376,@USER I said the same thing today lol,NOT,1
38,5662,26622,@USER I'm Jackie~ She is a great character to be tbh,NOT,1
39,4181,47082,#Theresa May Using #LabourParty Policies to Cling On To her Weak and Wobbly #Government #HousingCrisis #housingmarket the #conservatives are the Corrupt #Landowners #ToriesOut #Corruption,OFF,1
44,6116,53713,Low T and the Poontang Clan aka  Fucking Donald Trump #trump #maga #art #comicart URL,NOT,1
45,11535,32360,@USER Antifa ate my homework.,NOT,1
46,4026,55992,HOUSEHOLD NET WORTH: $107 TRILLION   URL   #MAGA,NOT,1
53,12062,68777,@USER @USER Such a fucked night @USER,OFF,1
55,8765,24755,#Liberals + #Conservatives= #neoliberalism &amp; #Globalization &amp; all of its Discontents: #PPP-#CorporateWelfare-Dilution of #Constitutional Rights/Freedoms &amp; #Justice-#SocioPoliEconFinancial #Corruption &amp; PARTICRATIC #Collusion of #cdnpoli/ticians for 1%ers!  URL,OFF,1
58,9525,97178,@USER @USER #WinForUs Antonio. We're with you. #MAGA,NOT,1
60,1056,14809,"@USER woman accusing Supreme Court nominee #Kavanaugh of physical and sexual assault should not be ignored or insulted,WhiteHouse senior counselor @USER says:BECAUSE A RAPIST &amp;ATEMPTED MURDERER Can’t GO FREE Because He Was 17yrs ,DRUNK &amp; WANTED IT❗️#tcot #pjnet #maga URL",NOT,1
64,7082,47122,@USER Eric Holder......Globalist  Evil personified.,OFF,1
66,4955,44544,MUST READ: Delay the Kavanaugh Vote.  This Senate is singularly ill-equipped to assess the allegations against Trump’s Supreme Court nominee.    URL via @USER  #PostponeTheVote #maga #ncpol URL,NOT,1
68,758,46987,#USA #UK and probably #Europe and #Australia  With their level of intelligence?  Weez all stoopid y'all!  #MAGA #MEGA #MBGA #MCGA #Conservatives #Patriots #Celebrities URL,OFF,1
71,5920,50394,@USER Big if true lol,NOT,1
72,1410,96262,"@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER Lol. You are not arguing againstbthe system I want, and I am not arguing in favor of the system you describe.  That is like you arguing for the principles of anarchy, and me constantly saying oh yeah, well, Hillary was a corrupt politician""  Irrelevant.  Factual, but irrelevant""",NOT,1
77,880,34675,@USER I think he is hurt,NOT,1
80,12833,41145,"America..!!  #WalkAway Get out and VOTE or live in POVERTY and SERVITUDE...!!"" #MAGA  #WWG1WGA URL",OFF,1
87,6833,75217,@USER Cuz he’s coming you bruh!!! @USER,NOT,1
89,7337,25698,@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER We’ve also written a post about 5 metrics to measure the success of your B2B podcast: URL,NOT,1
90,10710,67976,@USER @USER She is!,NOT,1
94,8204,74437,@USER Notice how much he keeps looking around? He is looking for a little girl to touch. He is a disgrace to our country. #MAGA,NOT,1
95,3374,26792,@USER Why you ruin shit lol,OFF,1
99,12478,83394,"...people of good faith and high character can and do come to competing  conclusions about originalism, abortion, gun control, and religious liberty.""  #Kavanaugh #KavanaughHearings URL",NOT,1
101,5703,85731,@USER @USER Nutty fruitcakes!!,NOT,1
103,3742,59275,@USER @USER @USER @USER @USER @USER @USER @USER It’s the only way he can rationalize his world view is to believe anyone using logic against him is a Russian bot. Liberals don’t like logic or having facts to counter their beliefs and (in)tolerant opinions.,NOT,1
104,12450,92198,@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER Aww you pooky bear...You are such a victim.,NOT,1
105,368,87366,@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER You ladies always make me smile..if you know what I mean 😛,NOT,1
106,10514,33595,@USER Guess you are going to ignore what karmys are asking...  💀💀💀,NOT,1
107,10561,49073,@USER @USER @USER German antifastock fought against the Nazis. German antifa rescued jews.,NOT,1
109,6463,98703,@USER Totally agree! #Trump2020. Now @USER if we conservative hunters and gun owners could just teach u urban guys hat Federal Public lands are paid and protected by conservatives! #keepitpublic,NOT,1
111,4913,31824,@USER Seriously who's the dick that unfollowed,NOT,1
115,11146,69349,@USER @USER @USER @USER @USER @USER @USER Laura Ingraham who followed the Russian-infiltrated NRA's order to attack Parkland victims (who decided to vociferously advocate gun control) and who at the time was vying for Kellyanne *gag* Conway's position,NOT,1
116,2271,57630,@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER Why do white liberals imagine white people have some power?  White people have been trained for generations not be racially aware.  White liberals are the most anti-white racists I know.  What power do you imagine white people have that other people do not?,OFF,1
127,2991,34688,@USER #1standLast I believe @USER just asked Vontae Davis if he is going to play another game this season.   URL via @USER,NOT,1
130,4485,97885,@USER @USER @USER Man you really thought this was it huh URL,NOT,1
133,2332,82441,@USER I wonder if he is a Chicago Bears fan..?,NOT,1
134,4805,53625,@USER @USER @USER @USER @USER @USER That’s right...he lies all day long and he is still terrible at it...anyone else would have mastered it by now...he’s definitely got 10000hr,NOT,1
136,2088,70428,@USER @USER Yes it does. She should be made to resign.  #MAGA,NOT,1
137,7000,85454,‼️ WE THE PEOPLE WILL DEFEAT YOU ‼️  #MAGA  #MSAGA (MakeSouthAfricaGreatAgain)  @USER @USER @USER @USER @USER @USER @USER  @USER @USER    URL URL,NOT,1
140,4285,20245,@USER You mean it doesn’t last like this forever? He is playing for a contract...,NOT,1
141,3152,92513,@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER LOL!! Same to you! Awe!  How’s it feel to want for the first time gimmie?!  Is that a new feeling for you?  Has mommy kept you on the tit all these years and now you don’t know how to fend for yourself?!,OFF,1
145,6819,64878,@USER @USER ‘Fake News’ is term used RATHER than the word DECEPTION!  #MAGA #WalkAway #RedTsunami,NOT,1
146,7659,63428,@USER Just announced on ESPN he is,NOT,1
147,663,62710,@USER You are not alone.   I am here with you.   Razzinfrazzinmaggle,NOT,1
148,6106,83212,@USER @USER @USER @USER Back then Antifa was called the kkk. They were a known muscle of the Democratic Party URL,NOT,1
149,7265,13004,"Are the Cruz vs. O’Rourke Debates Ever Going to Happen?""  URL #TCOT #MAGA #RedNationRising""",NOT,1
154,7986,72982,@USER @USER @USER @USER @USER That was fucking fast holy shit lol,OFF,1
158,6265,66355,@USER @USER @USER Yeah fuck pogba👍,OFF,1
161,12043,57628,@USER @USER Hillaryous lmao waa boo hoo,NOT,1
167,1121,61968,@USER @USER @USER @USER @USER Thanks DBC! Love reading your books! I’ve heard that #51 is pretty epic too - looking forward to *finally* getting to read it soon!!!,NOT,1
170,8921,80538,@USER @USER They've been trying. A couple of veterans happened 2 b assaulted by ANTIFA. Wrong!! They were surprised! Fight kinda broke up the protesting😲,NOT,1
173,6128,74389,@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER Why would that matter to a bug? Seems that you are having some kind of mental attack or something. Maybe you should ask for help.,NOT,1
178,13083,94181,Judge Nap: Get Ready for Another Version of Clarence Thomas-Anita Hill Hearings URL This is #TheLiberalWay STOP the Pathetic Lying #DEMS @USER #MAGA,NOT,1
181,4092,25839,#Tories #Labour #GE2017 #Conservatives Conservatives URL CCHQPress: 🏘️ PM natfednews: Today I can announce that new longer-term partnerships will be opened up to the most ambitious housing associations through a ground-breaking £2 billion initiative,NOT,1
183,11069,82873,@USER @USER @USER @USER @USER  Aaron finding the sending if a locomotive funny. He is aware it symbolises the trains jews were sent to their deaths on.,OFF,1
187,10342,48882,@USER Buck up buttercup!,NOT,1
188,3350,84591,@USER @USER @USER @USER @USER @USER @USER Universal background checks and an assault weapons ban would absolutely change things. I’m for Swedish-style gun control (did you know the Swedes are big hunters?) but Berniecrats only want Swedish-style healthcare.,NOT,1
189,806,31483,@USER @USER @USER So ist es! #TheDeepState #Jesuiten #Cabal #satanists #NWO #KalergiPlan ~ #KalergiPreis #WhiteGenocide #COMMUNISM #Antifa #AlbertPike1871 ‼️ #DrainTheSwamp #LockThemAllUp #Guantanamo #EXPROPRIATE #QAnon 🐇🕳️ @USER @USER @USER #POTUS45 #Trump2020,NOT,1
191,6414,96626,@USER @USER @USER @USER @USER One of them just called me 'politically and morally bankrupt' because I said I WOULD get behind him if he opposed Brexit 😐😂,NOT,1
195,2381,79760,".@USER ..... But But But all those gun control laws""? URL",NOT,1
196,3694,15689,"@USER Just think. She is infinitely funnier than you. Obviously..D'uh huh."" 😮""",OFF,1
197,11872,87429,@USER you at the prospects game? #fatbastard,OFF,1
200,7314,82355,@USER Who will abuse it the most: liberals or RINOS?,OFF,1
203,12596,40868,Turns out Cody 'Sanjuro' Wilson fancies himself as a samurai.    probably collects fake swords  #RiceKing #usefulidiot #QAnon  #MAGA URL,NOT,1
208,1382,68042,- Had a nice visit with Mommie dearest. I really had to bribe her with Diet Pepsi to eat the rest of her dinner..... 😂😭🤦🏾‍♀️ She is something else!! Love that lady....,NOT,1
210,11244,22948,@USER @USER @USER @USER @USER I've noticed that the 'capitalist' idea of individual rights never extends to the rights of individual to act in concert with other individuals towards a common goal (socialism).  Capitalism assumes that everything we do is selfish and profit-driven.,NOT,1
211,3940,81734,@USER @USER Took the words out of my mouth. He is just horrible.,OFF,1
213,4578,42014,@USER So true...she is so busy pointing the finger she forgot what's important!,NOT,1
215,6615,57285,@USER @USER he is my ultimate bias..,NOT,1
216,3614,87192,@USER @USER Phil is right socialists are the new fascists like antifa. Thanks to soros,NOT,1
217,4972,34295,@USER He knows he dosen't have much time left before he is brought down.,NOT,1
219,9847,54674,@USER We conservatives love him no matter how stupid it makes us /him look! YEE HAW! URL,OFF,1
222,12925,64574,@USER @USER @USER Oh you just wait til you see the next hurricane meal I tweet out!  You are gonna be sooo jealous...,NOT,1
230,332,63262,@USER @USER @USER don’t perpetuate colonialism. If you are going to talk about #puertorico you must have Puerto Ricans in the panel! Jeezuz.fucking.christ! How difficult can that be? #diásporaenresistencia URL,NOT,1
235,9512,58141,@USER @USER @USER She is a walking talking lie..  that’s why.,OFF,1
236,3297,21098,@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER I guess you didn’t see the 9/11 ad that replaced DB. Glad you are up on things.,NOT,1
238,6524,65045,@USER @USER @USER @USER @USER @USER @USER @USER Idk can we?,NOT,1
240,5715,66090,Really # MAGA  VOTE TRUMP 2020,OFF,1
241,9561,18594,@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER Has to with the revelations of what the liberals have been up to. URL,NOT,1
242,7872,80586,@USER @USER You are the most wonderful of Fremino,NOT,1
245,5540,42250,@USER @USER Surely he didn't do anything to damage Veterens Affairs?  If he sullied a reputation it was another department?,OFF,1
250,5300,25212,@USER Conservatives *lied*!?!  About their virtues?  This is my shocked face.,NOT,1
252,11147,94600,"@USER @USER @USER Your equation of the Democrats, BLM, and Antifa"" is funny too. It's roughly like equating the American Mathematical Society, mathematics education advocates, and ultrafinitists (and believing that there exists a research group called ""The Ultrafinitists."")""",NOT,1
