,Unnamed: 0,id,tweet,offense,codemixed
211,211,1.5754517713125212e+18,2 min silence for all men on matrimonial apps.   #MaritalRape law #FalseCase Industry without any proofs.   #MarriageStrike,1,1
1383,1383,1.583207569841324e+18,"@MASK Please be our voice!  ‌ #Mahsa_Amini‌,the twenty two yo who was arrested and beaten by the""Islamic Moral Security Gestapo""of  Iran's  Islamic Republic,passed away a few days ago She was arrested for""improper hijab!"" #مهسا_امینی #OpIran ",0,1
133,133,1.5820051916580454e+18,"if you want to see what cancel culture really looks like, look no further than graham norton being cancelled by a mob of extremists after a billionaire falsely accused him of condoning rape and death threats, simply because he said “talk to trans people.”  #IStandWithGrahamNorton ",0,1
470,470,1.5466453752259215e+18,@MASK Mtlb flash flood aor urban flood mai koi difference ni hai?,0,1
3113,3113,1.5858508145175593e+18,@MASK Gandhiji he thik hai. Gandhi se koyee mahan atma koyee paida hogi tab vichar hoga. Bematalab ki bate karana thik nahi hai,0,1
3024,3024,1.584844344355623e+18,"Prediction: Modi will meet with same fate as Mahatma Gandhi and Indira Gandhi, if course correction was not done.",0,1
1468,1468,1.5831804941829407e+18,"@MASK nah. she has other intentions. it's not about the mask, but about us wearing hijab. ",1,1
1413,1413,1.5831936072046671e+18,@MASK I never understood why people would rather someone add a sin onto another sin they’re committing 😩 at least sis still got a hijab on damn,1,1
1409,1409,1.583196197728047e+18,I honestly look so beautiful in a white hijab 😮‍💨,1,1
2432,2432,1.585856929871659e+18,@MASK @MASK @MASK This is political step to save dad and uncle  chair in 2024.. by which reason @MASK is at this position only because of dad. This is real Pariwarwad. He dont know ABC OF CRICKET,0,1
2482,2482,1.5858501830192906e+18,@MASK @MASK @MASK Finished player.......,0,1
1393,1393,1.5832030647562076e+18,"@MASK @MASK the hijab should never be forced and if it is that actually goes against islam, is says explicitly in the quran that islam and modesty and the hijab should always be abt intention so if a person is being forced the person forcing them actually gets sin for that ",1,1
658,658,1.5986388393458524e+18,@MASK @MASK @MASK Happy birthday🎂🎉🎂🎉🎉,0,1
3452,3452,1.585876979949052e+18,@MASK Tu to roz Pani pi ke soniya ji ko Nehru ji ko galiya de ta he,0,1
4204,4204,1.5803291690741307e+18,If you still think  #Demonetisation was a masterstroke either you are a fool or you purposely have chosen not to see the truth. Jab note bandi aayi thi tab mujhey bhi laga tha kuch badlav aane wala hai…baad main aankhein khuligalat ko galat bolne se aap na maan nahi kam hoga,1,1
1389,1389,1.5832058529236705e+18,I'm sorry but that JBP/Hijab interview was actually amazing.  Peterson expressed very clearly how language over complicates religion.  To which Hijab responded (as any devoted church member would); how do you operate without such an established Truth?  To which Peterson explained,0,1
3254,3254,1.5851726765862666e+18,@MASK Tum apna speech dekho BJP join karne se pahle ka tab tum bhi aurangzeb ki hi aulad tha abhi bap badal gaya hai party k sath ab godse ki aulad ho gaye ho fir kab change hona hai?,1,1
2070,2070,1.580211391784358e+18,(2/3)Disabled People's Organisations; Mass based organisations; Adivasi Sanghatans and larger alliance of persons with and without disabilities.,0,1
3919,3919,1.5575669193390244e+18,"@MASK Aaj ka hamara samaj kaisa hoga ye itihaas me kisne kya KAHA tha uspar nahi balki ham AAJ kya karenge uspar nirbhar karega.  Ram, Krishn, Gandhi, Akbar, Shivaji, Savarkar, Golwalkar, Vivekanand, Paigambar Mohammad, Buddh, Hitlar,..koi nahi..ham aur keval hamare karm..  Samjho!!!",1,1
398,398,1.5806660234556416e+18,@MASK Hence proved 4baap ka 😹,1,1
4128,4128,1.558764811441537e+18,Golwalkar as the most important ideologue of the RSS and Hindutva brand of politics forcefully argued for adopting the models of Hitler and Mussolini  #RSSBrokeIndia,1,1
1932,1932,1.580967345916244e+18,@MASK It belongs to the adivasi’s who dug it up,0,1
2894,2894,1.1772219613378028e+18,"@MASK According to a home ministry statistics, the conviction rate in IPC crimes in 2016 and 2015 were 46.8 per cent and 46.9 per cent respectively. More than 67 per cent of 4.33 lakh inmates lodged in 1,400 jails in the country are undertrials. This is situation of judiciary in India.",0,1
3050,3050,1.5848093933458596e+18,@MASK Just curious as to what was Feroz Gandhi's religion ? Parsi? So his wife Indira Gandhi and son Rajeev Gandhi were what religion then? @MASK @MASK,0,1
911,911,1.5835765826349056e+18,AriGrayson giving very much love o2o couple vibes😭😭😭😭,0,1
117,117,1.5819994657071882e+18,"Nigeria's annual inflation rate hit a fresh 17-yeah high of 20.8% in September, compared to 20.5% in August. ",0,1
1862,1862,1.5768497238178035e+18,@MASK @MASK To fir kisi or ki bahan k bare me bhi soch k reply de tweet pe   Agar kal ko teri bahn k sath bhi love jihad hoga to fir kya karega   Jo murti puja me nai mante vo garba pandal me kyu aate he vo bhi farzi nam bata kar,1,1
3722,3722,1.5823707805573448e+18,@MASK @MASK 1947 me agar ladkibaaz Nehru ke jagah sardar Patel prime minister hote toh mera desh kuch aur hota,1,1
3064,3064,1.5847999929794724e+18,"@MASK It took #British 200 years to accept @MASK as #PM that too as a compulsion to bell the economic cat. #SoniaGandhi is dynast, #RajivGandhi a nonentity made PM after #IndiraGandhi, were there no #Congress leaders? @MASK",1,1
2903,2903,1.1666870676208353e+18,@MASK to confirm this take a survey of every jail in India to find out the religionwise %age of convicted criminals & undertrials.,0,1
1197,1197,1.5820256256066888e+18,"@MASK A person who has been elected a record 10 consecutive times, has been President of the Karnataka Congress, Cabinet Minister of India, & leader of the Opposition in Rajya Sabha, is being ridiculed by upper caste BJP as a Gandhi proxy. The reason is that Kharge is a Dalit.😡😡😡 ",0,1
515,515,1.3037104908461425e+18,@MASK @MASK Kindly take necessary step to open the mouth of natural drain (plot no 876 of khatiyan no 714) to River Gobari to avoid urban flood in municipal area (khadianga Kaniajor & Jaipura)of kendrapara.This route drains maximum water in monsoon.,0,1
3975,3975,1.56415568385527e+18,"@MASK @MASK @MASK @MASK RSS Sarasanghachalaks Golwalkar Guruji are always pulled out of context & the subsequent instruction to swayamsevaks to accept & honour the national symbols, anthem & constitution are not quoted.  Flag code had multiple provisions barring hoisting of flags on non governmental",0,1
2286,2286,1.5809541424363807e+18,@MASK BRIJ BHUSHAN JI AAPNE KYA BOLA YOGI JI NEIN SUN LIYA TO DESH DROH MEIN YA UAPA LAGA KAR JAIL MEIN DAL DENGE,0,1
2148,2148,1.368307998536446e+18,How ironic that every single celebrity who questioned the farmer's bill has had their houses raided by Income Tax department of India.  #diljitdosanjh #tapseepannu #AnuragKashyap  #FarmersProtest,0,1
2002,2002,1.5807438252656558e+18,"आवाज दो, हम एक है  #GGTU_से_वैदिक_कोर्स_हटाओ #मेव_जनजाति_आरक्षण_दो ",0,1
3145,3145,1.5858475824836772e+18,@MASK @MASK “Live as if you were to die tomorrow. Learn as if you were to live forever.” — Mahatma Gandhi  Anji Salvacion #AnjiSalvacion ||@anjisalvacion,0,1
226,226,1.5754459531754865e+18,"Far-Left radical Chandrachud should not stop at marital rape, now since he has legalized it despite it being under challenge before the #supreme court he should go one more step further and include ""marital molestation"" as well.  B'cos Dhritrashtra @MASK won't do anything. ",1,1
4333,4333,1.5800866128845292e+18,"Justice Nazeer: What about black money and terror funding?  Chidambaram: They are saying fake currency, black money, and fake currency used for terror funding...fake currency ultimately taken out was negligible.  #Demonetisation #SupremeCourtofIndia ",0,1
4103,4103,1.5589607347505316e+18,"@MASK There's Smriti, Pragya and Tejasvi after them.  India as Ambedkar envisioned - none India as Golwalkar and Savarkar imagined - very strong.",0,1
2422,2422,1.5858582824635924e+18,@MASK @MASK @MASK  Congratulations to Zimbabwe team 🥰🥰 कहाँ हे वो नशेड़ी जो कह रहा था विराट को टी २० छोड़ देना चाहिए एक मूर्ख बतमीज़ रजा औकात समझ आई अभी घमंड नहीं टुटा तो फिर अगले मैच में तैयार रहो पूरी दुनिया को बता तो कैसे पाकिस्तान को हराना हे क्रिकेट में 🤣🤣🤣😂😂😂😂,0,1
4037,4037,1.5608844462949417e+18,"@MASK @MASK కానీ గురువులు ఇలాంటి వాటికి అతీతులు అని ఈ వ్యాసంలో బాగా చెప్పారు,  RSS Golwalkar ji కూడా ఒకసారి  పీఠాధిపతులు అందరిని సమావేశపరిచారు. ఈ వివరాలు చాలా తక్కువ తెలుసు బయటకి.  Very nice reading.. వ్యక్తి కన్నా ధర్మం ప్రధానం.",1,1
274,274,1.57542660795494e+18,Now chances of my love marriage has increased  Mummy papa ko convince kar lunga kya pata arrange marriage ke baad #MaritalRape case laga de Vaise hi #dowry ke naam ka risk hai 😂😂😂,0,1
4198,4198,1.5803875825629263e+18,@MASK Hope #mialords didn’t lose any money during demonetisation #SupremeCourt 😉,1,1
571,571,1.600776495353725e+18,@MASK @MASK @MASK @MASK @MASK @MASK @MASK @MASK @MASK @MASK @MASK @MASK @MASK @MASK @MASK @MASK @MASK @MASK @MASK @MASK @MASK @MASK @MASK @MASK @MASK @MASK दिल्ली और हिमाचल वालों को बहुत पछताना होगा। अभी तो खेल शुरु हुआ है।,1,1
1844,1844,1.5768900762099016e+18,"@MASK @MASK @MASK Love Jihad  Corona Jihad  UPSC Jihad  Land Jihad  GarbaJihad  Ganeshchaturthi Jihad Holi Jihad DiwaliJihad  Soon Hinduism will be ""Jihadzada"" . Zbr_amd @MASK @MASK @MASK ",1,1
406,406,1.580656455916884e+18,@MASK आप भी एक चांद ही हो ♥️,0,1
2343,2343,1.580783274565063e+18,@MASK अगर कोई उर्दू नाम धारी होता तो uspe UAPA के तहत जेल और बुलडोजर पहुंच गया होता,1,1
46,46,1.581414492663353e+18,Demonetisation 15 Lakh Aache Din Black Money  Border Security Sabka Saat Sabka Vikas Petrol @MASK 30-40₹ Beti Bachao Beti Padao Smart Cities  Etc.   Any success modizi?? #JawabDoModi,0,1
649,649,1.5986485694097285e+18,@MASK @MASK 👏👏👏,0,1
4002,4002,1.562132052677468e+18,"As to the current WB BJP President, Sukanta, he is a 50-50 Sanghi Ji. He has a Bengali persona but keeps pics of Golwalkar in every space that matters to him. But otherwise nothing much to dislike him, but more importantly nothing 2 like him either. Unremarkable. Not a leader.",1,1
1000,1000,1.583719677196632e+18,@MASK @MASK Dharm bdal rahe hai pr dalit sabd ko nhi chhod rahe sochniy baat hai Siksha bhagidari sanman dene se hasil nhi hota apani kabiliyat se hasil hota hai Hygienic honge to chhuwachhut ki bimari bhi nhi rahegi Apni mansikata ko sudharo khud pr bharosa kro sanman mangane se nhi milta,0,1
3381,3381,1.5848846407995924e+18,@MASK @MASK They are fooling you bhad*e  We know very well what they do and why they do.   The fact that they are forced to do this in public to be accepted by World shows the aukat of your Godse and his terror ideology.   Only a chutya radical terorrist can call Godse “ji”. anti national,1,1
4410,4410,1.5797491070524495e+18,@MASK @MASK @MASK Yup ... Harvard scam was a single person being fooled. But for a large scale scam ... does it get bigger than Acche Din or 15 lakhs from Switzerland or Dollar to Rs 40 or Demonetisation will get rid of black money or No corruption govt  ... 280 characters is not enough.,1,1
88,88,1.582019814394327e+18,"Women, children, and even elders are taking part in the #BharatJodoYatra. While they walk with us they share how inflation has been severely affecting their livelihoods. #GupshupWithBharatYatris ",0,1
1952,1952,1.5809167197484032e+18,#आदिवासी_जनगणना_कॉलIt is our right to demand adivasi religion colum census 2021. And we are not bonvasi.we are adivasi.we are indigenous people of india. implement tribal religion colum. #  #आदिवासी_जनगणना_कॉलम_दो #आदिवासी_जनगणना_कॉलम_दोम_दो,0,1
1492,1492,1.5396298553979287e+18,"@MASK If he was woke,he would be supporting Nupur Sharma. Western liberals are PRO Blasphemy. Only in India we see liberals demanding blasphemers be arrested. If he was woke,he would've appreciated Modi for pro LGBTQ laws,triple talaq bill and abortion bill. He is far right Izlamist ",1,1
271,271,1.5754280815436145e+18,more clarity needed??  A law should be made to bring more clarity on the issue??  @MASK  @MASK   #MTPact   #MaritalRape,0,1
1161,1161,1.5820460624284262e+18,"@MASK @MASK Al taqqiya!   Remember how they burn ,vandalise houses if their opponents had been from other faiths, remember how even Dalit guy in Bangalore was not spared,he and his homes were attacked, burnt ",0,1
4362,4362,1.5800742821134377e+18,@MASK Legalizing demonetisation jointly ? Modi's all decisions approved by supreme court? Now take unconstitutional abrogation of the #Article370 .,0,1
1920,1920,1.581094416785191e+18,@MASK Can Adivasi occupy any position in Sun Tv or RSB media ?. No Way …,0,1
2726,2726,1.58569659374694e+18,Pakistan lost today because PSL has more quality than IPL .PSL blood #PAKvsZIM #T20WorldCup #BabarAzam,0,1
3913,3913,1.5579021248008888e+18,"The RSS’ attitude towards the QIM becomes clear from the following utterances of its second chief and most prominent ideologue till date, MS Golwalkar. While talking about the outcome of the Non-Cooperation Movement and QIM he said:",0,1
1043,1043,1.583694525796872e+18,Savarnas are finding it hard to tolerate a dalit as the president of a savarna party.. Imagine what will happen to them when a dalit will become the Prime Minister of India!,0,1
2105,2105,1.5835827394034565e+18,@MASK I agree I respect facism more than any Marxist,0,1
4020,4020,1.561593432954618e+18,"If Savarkar, Hegdewar, Golwalkar, DeenDayal etc are such stalwarts, why doesn’t Modi ever talk about them when he travels overseas? Why doesn’t he educate foreign leaders/media about these alleged legends?",0,1
181,181,1.581593186748666e+18,@MASK No wonder they're supporting #MaritalRape provision which will kill millions of Indian citizens.,0,1
2434,2434,1.585856669967614e+18,BCCI ki match fees tera pura khandan ban jaega 🤣,1,1
2477,2477,1.5858512813900472e+18,@MASK @MASK @MASK మరి మీ నాయకుడు కూడా Gender parity in pay లాగ చెల్లికి ఆస్తిని సమానంగా పంచొచ్చు కదా A2 గారు.  @MASK,1,1
3232,3232,1.5858374306280366e+18,@MASK いいよ,1,1
622,622,1.5986790217638584e+18,@MASK CPIM talks a lot about the autonomy of States. Now they want the central force to face Catholic priests in Vizhijam.Could not control Law and order Maybe we see a route March by Indian Army at Vizhinjam shortly,1,1
3082,3082,1.5847876737133568e+18,@MASK Indira Gandhi congress party prevented  Daleet:  Babu Jagjivan ram as PM of India   Menaka Gandhi published nффd pictures of his son with actress in new Delhi newspapers,1,1
2854,2854,1.5507106198628923e+18,@MASK Hahahaha....Join us as #undertrials of a Large democracy ruled by a bunch of insane Bhaktocrazies...,0,1
1761,1761,1.5771471088464896e+18,@MASK Use to dharm ke naam pe roka gya h sirf.mana ki galat h...lekin vo log to love jihad ke naam pr dhokha ya murder aur Islam ke naam pr sir tan se juda kar dete h...tab to tumhari patrakarita mar jati h.,1,1
2205,2205,1.3590681763702702e+18,"@MASK Kiran, Anna, Ramdev didn't do andolan against CAA, JNU, TripleTalaq, Article 370, Farmer's Bill... they came United just agaubs your corrupt UPA govt. On the contrary Yogendra and it's ilk is seen every fkng protest. Hope I have been able to educate you a bit. ",1,1
888,888,1.5834240721547223e+18,"@MASK The Tories have proved themselves incapable of governing properly.  Lock-downs, net zero, botched Brexit, illegal migrants...  It's over. ",0,1
1975,1975,1.5808582928507863e+18,@MASK @MASK Amir Bhraman thali my EWS quota saja ker deya Garib Bhramno ko Amir Garib Bhraman ka bahichara dikh meri ankho 👀 ansu 💧😥😰 aa gaye per 166 Bahujan MP ny koi virodh nahi kiya yae dikh bhi ansu 😥😰 aagye meri ankho my 😥😰,0,1
2878,2878,1.547967119781798e+18,#SupremeCourt issues crucial directions:  -Govt should enact special law for grant of bail  -Accused entitled to Bail if Police fails to comply with 41/41A/Arnesh verdict  -No excessive sureties for bail  -Decide Bail in 2 weeks  -Undertrials shouldn’t be in Jail for long period,0,1
3375,3375,1.5848888503205435e+18,@MASK @MASK @MASK @MASK @MASK @MASK @MASK @MASK @MASK @MASK @MASK ಅವರ ಹೊಟ್ಟೆ ಪಾಡಿಗೆ ಆ ತಾತ ಏನೋ ತಿನ್ನು ಅಂದ. ಅದನ್ನ ತಿನ್ನ ಬಹುದಲ್ವ,1,1
2265,2265,1.5811503399772078e+18,@MASK लगता है सरकार कोई है ही नही...इसपे UAPA लगना चाहिए और साथ ही इसके घर पे बुलडोझर चलना चाहिए..,1,1
3891,3891,1.5585271234341233e+18,@MASK @MASK @MASK Aapas me ladna band kro.. warna jo DP me Gandhi Bose bhi dikh rhe hai usne sawarkar Golwalkar reh jayenge,1,1
2005,2005,1.580725137993003e+18,🌾 सुबह का जोहार 🌾 🌾जय आदिवासो🌾 🌎जय भील प्रदेश🌎 #GGTU_से_वैदिक_कोर्स_हटाओ #मेव_जनजाति_आरक्षण_दो,0,1
1130,1130,1.5820617669763686e+18,"@MASK @MASK @MASK Ab ye log unhe bhi dalit bata ke ,apna kahenge 😂😂 ",0,1
1638,1638,1.579007941495382e+18,@MASK @MASK If their conversion has not changed their socio-economic status they should do gharwapasi.,1,1
2255,2255,1.5811651363202662e+18,"@MASK #दिल्ली दंगा पर सुप्रीम,हाई कोर्ट के रिटायर्ड जजों की कमिटी ने जो रिपोर्ट दी है वो पढ़िए। इसमें उन्होंने #भाजपा और उसके अधीन @MASK की भूमिका पर कड़ी फटकार लगाई है, #गुल्लूमीडिया को नफरत फैलानेवाला कहा और #UAPA कानून #CAA के प्रदर्शनकारी #मुस्लिमों पर लगाने पर सवाल उठाया ",1,1
763,763,1.5754826453535662e+18,It's 2022 and people are still practicing open defecation! Why?,0,1
833,833,1.5753803566975713e+18,@MASK Azadi k amrit mohatsav par 4k gorpo for live in orbit  and 4k launch telecast k liye bhi kch soch lo,0,1
3468,3468,1.5858686982667633e+18,"@MASK Whatever Nehru was, he could not stop partition, he couldn't win wars, he could not prevent enemy occupation of Indian land and he imposed 35/370.  So to say...he was a catastrophe.",1,1
4092,4092,1.5590638373110456e+18,"The vision of RSS is based on the book ""BUNCH OF THOUGHT"" by Golwalkar and the ideas of Savarkar who always opposed the freedom struggle of India  #RSSBrokeIndia",1,1
1018,1018,1.5837111954496102e+18,"@MASK But he is a poor dalit., ",0,1
411,411,1.580654498296451e+18,@MASK निसार तो किसी और की हो ली,0,1
1536,1536,1.5822010311479132e+18,"@MASK @MASK @MASK ..this spineless gent at the top executive you speak for, Hindu gurus would somehow succeed? You mean menacing #jihadis who cannot be controlled by the law-enforcement will somehow be persuaded to do ghar-wapasi by Hindu gurus? Just how do you arrive at such ridiculous ideas?! ",1,1
1269,1269,1.5837341101863977e+18,@MASK Ek congress hi esi gai biti party bngai jo Jai SiyA Ram ka Mukabla nhi kar ski Issey achi Toh aam party hai jo muslims vote Le jayegi,0,1
4270,4270,1.5801034111978865e+18,Top class arguments from mr @MASK today in Supreme Court today on Demonetisation. Looks like this is just a trailer and detailed arguments to follow.  #DEMONetisation #SupremeCourtOfIndia #proportionality,0,1
409,409,1.5806552742132695e+18,@MASK India is an islamic country behind the curtains of secularism.....,1,1
1812,1812,1.5769738187985592e+18,@MASK Mashaallah 🕋 andhbhagato ki nind ud gahi love jihad kanoon ki dhaniya ud gahi 😂😂😂,1,1
4284,4284,1.5800983963915018e+18,Chidambaram: The ques is did you apply your mind when implementing this policy? Then where is the record?   #Demonetisation #SupremeCourtofIndia,0,1
2189,2189,1.362062739514876e+18,Government must clarify the doubts about farmer's bill..  #कल_किसान_रेल_रोकेगे  #FarmersMakeIndia,0,1
524,524,1.3015798841631048e+18,"@MASK @MASK @MASK @MASK @MASK @MASK @MASK @MASK @MASK @MASK @MASK What about urban flood in Karachi, where is awami hukomat??? ",0,1
3568,3568,1.5851485228687688e+18,@MASK Bhagat Singh and Ambedkar ji real Dharma k follower hai...na ki aj kl nakli Dharmik log,1,1
291,291,1.5689567448141742e+18,@MASK @MASK You can support by becoming the first victim of #maritalrape if this becomes a law 👏👏,0,1
225,225,1.5754461881614008e+18,"India mein jab tak problem sabko mehsoos nahi hoti tab tak purush prajaati kuch nahi bolti kyuki - ""apni problem nahi hai"" waala attitude hai.  Let #MaritalRape come and then see flooding of cases, than only #ManWillUnite ",0,1
1214,1214,1.5820119097457582e+18,@MASK @MASK @MASK ऐसा ही लगता है। बाबा साहेब के विचारों से ये वाकिफ नहीं ये सच्चाई है।,0,1
564,564,1.6007786067327918e+18,@MASK I salute to all indian army who defence our country #ArmedForcesFlagDay,0,1
2356,2356,1.5806156030603796e+18,"@MASK @MASK Hindu society take pride by oppressing Muslims Economic Boycott ,Lynching , Bulldozing their House ,Hijab Ban, Filmsy Arrests under UAPA ,Genocide calls Overseas Friends of BJP want all rights and liberties for self in Foriegn land  #Leicester Celeberate   #ApartheidIndia",1,1
2074,2074,1.5801825045519073e+18,Tweet No 1   #15अक्टूबर_चलो_नागपुर #15अक्टूबर_चलो_नागपुर #15अक्टूबर_चलो_नागपुर  @MASK @MASK @MASK @MASK @MASK,0,1
