,Unnamed: 0,id,tweet,aggression,codemixed
5118,5118,1.5800674713019392e+18,"ML Sharma: In my petition, i have challenged act as well as notification on constitutionality.   Now we are not following the constitution, it is a fact. Everything being done by the cabinet without coming to the parliament. Demonetisation is the same.   #Demonetisation ",0,0
2037,2037,1.583423208614957e+18,"@MASK @MASK They’re locking our kids up and charging them as adults but if you 20, a migrant lie about your status and commit a crime you should be welcomed to stay ",2,0
3833,3833,1.585700197891707e+18,"@MASK @MASK age is the only factor which may hinder his chances of an ipl contratc ig. if he had hit this form a couple of years earlier, he was sure to find a jackpot",0,0
3747,3747,1.5858366885504243e+18,@MASK @MASK can we sumhow ask IPL teams to pick atleast 1 player from associate nations in playing 11 apart from 4 foreign players. India can still do with 6 Indian players totaling to 60 in playing 11. this will seriously motivate nations to pick cricket and help them grow,0,0
1693,1693,1.5811506460653363e+18,"I’ve taken buses if needed and even asked for lift at times.   In these last 3 years; I got slapped with the UAPA charge, narrowly saved myself from the mob lynching in the Burari grounds, Delhi police filed a FIR against me. Despite all these and many more complaints I never ",2,0
4368,4368,1.5859101565291438e+18,"Do i have any mutuals/followers living in saturn rn? Im in an emergency situation rn i accidentaly jumped too high,hoping someone can let me crash on their couch for a night or two. I can offer compensation feel free to DM",0,0
1280,1280,1.545612040676561e+18,"@MASK @MASK @MASK Flooding is a natural disaster in those countries. It is caused by factors that beyond the control of man e.g storms,heavy rainfall (can only lead to river flooding)  , snow melting e.t.c In nigeria, floods are caused by human factors e.g poor urban planning, terrible  drainage. ",0,0
1731,1731,1.5768270544438886e+18,@MASK @MASK Dear sir this problem is compounded by the open defecation that is happening from the bridge which is open from all sides and connected to the skywalk leading to nana chowk.,0,0
33,33,1.5816561120254405e+18,"@MASK Just like demonetisation which wrecked our economy and killed the informal sector, the Covid mismanagement would be forgotten. ",1,0
3053,3053,1.5835970126535516e+18,"That time on LinkedIn when a USMA alumnus is lecturing me about the ""Austin/Milley Marxist BLM agenda."" ",0,0
2005,2005,1.5834264136168366e+18,@MASK Ron DeSantis: rebuild the causeway as fast as possible  Leftist: think of all the carbon emissions!  Swimming is a much more environmentally friendly option,1,0
1352,1352,1.3024298432383836e+18,"@MASK This has to go out to every suburb, every collar county around urban areas.  Flood this into all Democrat run cities. The locals have got to be angry at the lawlessness. ",2,0
3632,3632,1.585843724319617e+18,@MASK @MASK I think you got the answer yesterday.,0,0
293,293,1.582019435438936e+18,@MASK @MASK It doesn't help them when everyone knows it's worldwide inflation. It's literally the same for all 8 billion people no matter where they live.,0,0
1363,1363,1.3016215999473623e+18,"@MASK @MASK This is also called flood. Ever heard of urban flooding? Because the Godi Media never speaks about the flood and other plights. They have a communal agenda, and they have to spread hate, a task given to them by the NDA. ",2,0
2103,2103,1.5834152114781263e+18,"@MASK @MASK Like, I think people want to believe this, I just don’t. There’s never been a moment in Labours history (as far as im aware) where its ever reversed anti-migrant legislation. Some of the biggest developments of the border regime were under labour governments after all! ",0,0
5162,5162,1.579714252469768e+18,"@MASK @MASK Nah nah. She is right. The plunder through demonetisation And ransom and or bribery through electoral bonds have filled the coffers of only one entity, it’s offshoots, it’s office bearers and their relatives only. ",2,0
1711,1711,1.5781886137952663e+18,"@MASK @MASK @MASK Ah yes , those people are poor , mentally ill and drug addicts , and even they have enough sense  not to practice mass open defecation ",0,0
2786,2786,1.583201978179416e+18,"@MASK This is distasteful. I’m truly appalled to call myself an American. Mahsa literally was murdered bc of this “hijab” you praise. Why not dedicate another day to her or better yet, push for legislation to remove these heinous dictators and this dictatorial regime. ",1,0
4787,4787,1.580746306313945e+18,@MASK Every move they took has impoverished the Indian and the India govt while profiteering for BJP and their cronies. Demonetisation Rafale COVID fund Electoral Bond,2,0
3215,3215,1.5835802237773169e+18,@MASK @MASK I can totally see that,0,0
3003,3003,1.576872848404394e+18,"@MASK Yes he is not doing love Jihad. Besides, it’s haram for them. Hindu is doing them a favour. Go figure. ",0,0
4060,4060,1.5498417084601467e+18,"Happy for anyone getting freed from fascist clutches of prison.   Those implicated in bhima koregaon case must also be free.   Lakhs of undertrials spending torturous years in prison, mostly SC, ST, sikhs and muslim. Must all be set free.",0,0
2775,2775,1.5832080950940344e+18,@MASK @MASK Anyone without double standards will stand for Muslim women in Quebec being denied their right to Hijab. Canada has no moral standing unless it gets rid of #Bill21,1,0
4298,4298,1.5859137659076895e+18,"@MASK Full emergency stop, I’d give myself whiplash for that man",0,0
2179,2179,1.5835760546852372e+18,"@MASK @MASK @MASK There is no controlling immigration, the country can't survive on low-zero immigration. ESPECIALLY if you also fail to curb emigration, or put simply you'd have to lockdown the country in order to avoid a constant shrinking of the population - and a large net loss of workers ",0,0
940,940,1.575427160428331e+18,Plea for recognition of marital rape is pending before Supreme court after Delhi HC gave a split verdict.  This is not criminalisation of marital rape in toto but the order makes the right noises,0,0
4144,4144,1.5443877593220383e+18,"the prison deliberately. Undertrials are not supposed to die in prisons without getting convicted of any offence. Once Supreme Court ruled, ""Our prisons should be correctional houses, not cruel iron aching the soul.""  In Emergency imposed by Congress government, all (2/3)",2,0
165,165,1.5820201421330511e+18,"@MASK Hey democrats, you think we’re gonna let you ruin the country with high inflation, highest crime rate ever,open borders,going from 100% energy independent to buying oil from dictators and others,race issues caused by yourselves dividing the country, high gas prices,food shortages ",1,0
1561,1561,1.582098592210518e+18,@MASK “We used to hang like the days of the lynching” 🤯🤯🤯🤯🤯🤯🤯,0,0
762,762,1.5814718184013292e+18,"@MASK who said anything about “regretting sex” rape is having sex even if you don’t want to. marital rape occurs in arranged marriages quite often, in religion s the idea of denying your husband is literally seen as a sin. that’s not the same as “regretting sex”. ",1,0
5318,5318,1.577903970466824e+18,@MASK This picture reminds me Someone sent his 96 years old mother to bank during demonetisation for publicity,2,0
2985,2985,1.5769365344979067e+18,"If no action is taken after this kind of crime, then tomorrow these youth will go somewhere else and commit a similar kind of crime !   They also might trap a Hindu girl in love jihad ! ",1,0
1465,1465,1.5986661244426035e+18,@MASK Actually this is why Turkey help Pakistan and Hates India and Indian Army.,1,0
1771,1771,1.574830593883353e+18,"@MASK @MASK @MASK @MASK @MASK Compare the number of IITs, AIIMS, Hospitals, Schools, Percentage of Open DEfecation, Roads, electricity coverage, gas coverage, water coverage, Defense strength, Foreign Deposits, GDP in next 3 years and then lets talk. Go read n then come back ",1,0
3904,3904,1.585676708887556e+18,Welcome to the @MASK @MASK . I’m sure many teams would show keen interest if you toss your name in n the hat,0,0
1555,1555,1.5821048709200077e+18,"@MASK George Floyd's death was a public lynching by the Police, there's a line you don't cross ",2,0
447,447,1.5819993790280212e+18,"Let me get this right. Inflation, people daily entering America…unlawfully, education of children in turmoil, sky high university tuition, lack of products, and the list goes on.  BUT THE MEDIA REPORTS ON PRESIDENT BIDEN EATING 🍦 JEEZ…. ",1,0
3411,3411,1.581022308487299e+18,"@MASK @MASK @MASK @MASK @MASK Really goes to the relevance of Indian jurisprudence.  No legitimate country cares about Indian law. India only isolating itself by TADA, UAPA sedition laws. ",1,0
4427,4427,1.5859060695109015e+18,@MASK I would call in ambulance as emergency support,0,0
4685,4685,1.5671808322338895e+18,"Without dynamic conquering spirit, even devotion to a divine cause will be of little avail In this hard world which is an arena for trial of strength with brute forces, mere goodness or noble virtues will not hold the field for a single moment.     -M.S.Golwalkar",0,0
5041,5041,1.58009316417382e+18,"Chidambaram: It must be discussed first in the RBI board.. here a virtual command comes and you pass a resolution in 24 hours. At some stage, your Lordship has to look into these documents.   #SupremeCourt #Demonetisation ",0,0
4224,4224,1.1515164193909678e+18,3. Our judges need a refresher on bail. It is a RIGHT & should be denied only if the accused poses a flight risk or a threat to investigation. Detaining undertrials must be an EXCEPTION & only such conditions be imposed as to secure their attendance & cooperation at trial (contd),1,0
1149,1149,1.5806203293321175e+18,@MASK @MASK @MASK This religious law is your own fantasy.  I'm talking about not excluding large portion of the population from full class citizenship. Which is what secularism does.  Pluralism is an (illdefined messy) method that can include the incompatible claims of secularists and religious.,0,0
