,Unnamed: 0.1,Unnamed: 0,id,sentence,label,codemixed
4115,6959,12359,66931,@USER @USER Looks like gun control is working out well for your sh*t hole country huh?  How are those gun laws working huh? More shootings and murders by gun than America which has more guns than people in Brazil,NOT,0
273,457,5544,56679,@USER No worries !  Thank you for responding can I ask you a question I find it very interesting? Can you tell me why you are an atheist I'm just curious.,NOT,0
109,177,13237,82921,@USER And why report this garbage.  We don't give a crap.,OFF,0
3054,5167,7032,85669,@USER I'm calling it now he is still Superman but not for a long time.  I think WB is letting him do his own thing and down the road they're going to gear up for Man of Steel 2.,NOT,0
1206,2058,11277,34816,"@USER @USER @USER @USER This year will go down in history. For the first time a civilized nation has full gun registration! Our streets will be safer, our police more efficient, and the world will follow our lead into the future! — Adolf Hitler, 1935 All gun control starts with safety"". It's all bs.""",NOT,0
2684,4537,10330,51253,"@USER The victim"" is demanding it to drag out a confirmation hearing she refuses to participate in. She comes from the violent liberal Antifa party with there KKK hoods they  beat up total stranger &amp; are funded by dems. The most violent party ever &amp; they want us to believe they care.""",NOT,0
2115,3600,7589,87273,@USER More like what I’m missing... lmao I’m just bitter about being ignored yet again and I’m ignoring her because that’s what I’m like but it’s so hard not to message her 😭,NOT,0
4769,8090,5586,64943,@USER @USER @USER Sure. Whatever you say random dude. Last time I checked having a negative opinion of a media company doesn’t make you Antifa. But congratulations on dumbest fucking thing I’ve heard today👍,NOT,0
3995,6743,11283,14684,@USER I’ll bet you mock disabled people too.  Funny how the MAGA crowd likes to pick on the weak and support the powerful. Like bullies. Wonder who your role model is?,OFF,0
4510,7640,9451,88219,@USER @USER some people are talking crap about serena questioning her maturerity and justifications of her action. If you never get burn before you will not know how it feels to get burn Serena knows   it she has seen it. She is tired of so she is speaking out and it is an issue.,NOT,0
3994,6742,12940,64750,#MalcolmX on Liberals..............................wise man!  URL,NOT,0
4617,7824,4221,15061,@USER Everyone in the US “heard” you were clearly not qualified to do this job and voted accordingly.,NOT,0
2753,4650,10118,36808,@USER @USER @USER I agree! I guess Dems are saying that they’re worried about some October surprise where the FISA docs are released leading up to the election.😊🇺🇸MAGA!,OFF,0
120,198,4888,50718,@USER @USER  FELON ERIC HOLDER  SHOULD BE ROTTING IN PRISON FOR HIS CRIMES. URL,NOT,0
4072,6869,7538,56592,@USER I understand that.. but she has 4 children and she is mad because she and her 7 week old were asked to leave a book club meeting at 9:00... obviously someone was with her other children at home so why bring the baby,NOT,0
4034,6806,7390,52894,@USER He is both. Best hybrid EVER.,NOT,0
4792,8135,629,13389,@USER I think liberals call that a front hole now. Been having fun with that one.,NOT,0
1568,2687,3448,39795,@USER @USER omg yeah the thing is that there can be a large range of price for the same item i once bought a bag for RM20+ but i also saw another shop selling it for RM60+ like wow,NOT,0
4230,7135,1628,21228,*buying more Levi’s  URL,NOT,0
2282,3861,11231,96114,@USER @USER And that's where you are seeing what you want to see. You think these people want to look manly and powerful. I see them expressing solidarity. what a useless thing to mock.,OFF,0
3166,5356,9700,80661,@USER @USER @USER They should consider gang squad units. They should consider controlling the dope epidemic. They should consider a lot of things. But the loosing left would disagree and just scream gun control,OFF,0
1078,1818,5321,92598,"@USER 😂😂 yeah ok sure next time"" i just didnt wanna let people know who she is so that they dont go all over her and attack her but if ur sure then OkAy""",NOT,0
3143,5320,8153,88262,@USER He didn't just lose his talent. He battled demons &amp; played on an embarrassment of a franchise. He is now in an ideal situation. I believe he is still an elite WR but I guess only time will tell.,NOT,0
3707,6259,7036,21915,@USER @USER Love watching replays of election night 2016. And watch the media completely m let down.,NOT,0
2886,4864,3917,25082,@USER You are a coward and really have no right to be AG. You are a disappointment. Your days are numbered and so his your party.,OFF,0
4318,7287,12312,77054,@USER @USER let’s throw up some added bureaucratic red tape to deter highly qualified people from entering the already vitriolic world of politics. Look at hate directed at Trump family. I don’t care about tax returns. Some universal financial report will do. Care more 4 results.,NOT,0
2138,3634,6797,65393,@USER Remember him defending Antifa? I ‘member,NOT,0
3648,6160,11260,63934,@USER @USER Wishing you even more success in the future brave @USER you are really a true ambassador of Pakistan. bless you @USER thank you.,NOT,0
3443,5826,4534,64168,@USER Liberals are addicted to fake news.  Chris is their Dope man.,OFF,0
2793,4720,5098,84708,@USER 3 pitches right down the middle while no one else is having trouble with this guy. Its unbelievable he is playing with the season on the line,NOT,0
4017,6779,12544,70334,@USER So what is the Conservatives policy on antisemitism? Does it quote the international recognition if not why aren’t you reporting on this with as much vigour as you have done with Labour????,NOT,0
1229,2104,8929,57083,@USER Twitter censors conservatives and Republicans regardless of the bullshit they tell Congress and the world.,NOT,0
4341,7339,9391,64827,1. We all want affordable health care for everyone. Liberals want it so badly they are willing to change the facts to produce the theory. That's false science. The correct thing is to change the theory to accommodate the facts. That's science.,NOT,0
1689,2878,7279,32366,4) forgiveness is useless: she is trapped by trauma for 40y. Maybe if she lets go of her illusion of a perfect world where “this cannot happen” accept that she is the only one responsible of getting herself over this,NOT,0
1881,3213,10916,86355,@USER By the way the United States is a Republic!,NOT,0
4549,7703,6943,63826,@USER A political novice has outshined all of you corrupt establishment politicians.  We voted for him because he can't be bought.  Soros can afford it.,NOT,0
3391,5737,2907,74066,@USER *REPLACES CHICKENS WITH GUN CONTROL* URL,OFF,0
2558,4319,3700,17332,@USER Awesome win!! I truly believe Americans are sick to death of what the left is trying to do to destroy America and change our country into what it never was intended to be. Go vote America and MAGA! Thank you President Trump for believing in our country and keeping promises.,OFF,0
1750,2986,10747,37461,@USER I can see a case for it based on the evidence of how appalling badly the Conservatives have gone about Brexit and now that we have a clear idea of what leaving means.,NOT,0
1,4,11621,18315,@USER get your shit together,OFF,0
2146,3645,1285,38473,@USER hope you are having a great day honey. Can't wait to talk to you 😃 I love you 💕😘,NOT,0
4735,8019,8284,21275,@USER monster hunter,NOT,0
1100,1865,2529,31562,@USER Everyone who is against this is called a „Nazi“ by Antifa scum and politicians.,OFF,0
4258,7182,1786,93942,@USER @USER Of course never cover conservatives,NOT,0
1677,2860,12350,66082,@USER If you move ahead with Kavanaugh's nominatin without more information you are committing an ethical and legal violation.U violated the constitution with Merrick Garland &amp; now this horrible candidate who says precedent can be overturned. Wait for more info &amp; be sure,OFF,0
4868,8258,12664,34214,@USER @USER The Gibraltar people will be hostages in the remaining #Brexit negotiations. Do @USER or the @USER care? Not a fig!,NOT,0
2599,4390,12546,39929,@USER @USER @USER (Basically PSA is spoonfeeding liberals exactly what they want to hear rather than confronting the structural inequities that they in part helped foster/implement),NOT,0
5029,8524,10090,52651,@USER @USER @USER @USER Post hoc ergo propter hoc.  Your homicide (&amp; gun violence!) rates have increased steadily over the decades since the 1st implementation of gun control laws. Homicides have recently dropped (unrelated to any significant gun measure) yet police are demanding to be armed.,NOT,0
2649,4470,8703,99633,@USER Don't forget the ILLEGALS you are fighting for with tax payer money.,NOT,0
4807,8161,6452,57137,@USER a few comics i never met i REALLY want to meet now and he is one of them ha,NOT,0
2360,3990,1131,30224,@USER you are no patriot if you actively try and disrupt the will of the People simply because you lost the election.   When has it ever been patriotic to undermine the Presidency?    He is working to bring prosperity to every American.,NOT,0
3108,5250,11313,98983,@USER @USER @USER And conservatives are no longer conservatives why do you think Maxime Bernier has started a new party that will follow original Conservative values.,NOT,0
5049,8567,4381,12178,@USER @USER Except he is. His administration has allowed crime in the city to skyrocket. You bloody leftist snake.,OFF,0
4575,7739,12293,64188,@USER Feinstein and Schumer are political assassins.  Thank heavens that @USER has been able to give a few in the GOP courage to not fold this far.  Conservatives need to hit back hard on these political criminals.,OFF,0
1357,2342,4711,18265,@USER @USER Wise move .. the only things the Democrats are doing is creating anger regarding conservatives,NOT,0
3388,5730,3067,69586,@USER @USER @USER @USER @USER Chicago has strict gun control laws but the highest gun violence rate Detroit was owened by Unions and is now bankrupt Cali has the second highest welfare rate and is now the homeless capital of the developed world.,OFF,0
1547,2651,3640,62553,Willie’s hurtful response to his former fans who have quit him in droves over of his support for that little hippie Beano. #MAGA @USER URL,OFF,0
2794,4721,3852,51116,@USER Goodell is the worst commissioner of any sport from any time in history,OFF,0
4776,8100,871,14179,@USER @USER what is this shit right over here? I also showed to my polish friends and they are quite triggered,OFF,0
5525,9383,1072,64355,@USER Doesn't Canada need it's comedians back.,NOT,0
1471,2526,9551,12117,@USER I think he WAS black. But thank God the police here behaved professionally. She is SCARY!,OFF,0
4650,7876,9582,41780,@USER @USER What do you mean by not for 45 years? I recall relatively recent local gun control laws being overturned by Congress. Am I misremembering?,NOT,0
1451,2490,3511,87262,"(3) ...and the so-called liberals are anarchists. - Protocols of the Wise Men of Zion, Behold a Pale Horse by William Cooper""",NOT,0
2143,3641,5879,16067,@USER @USER Wish u folks luck w that. I think you’re fucked though.. There will never be enough pro gun folks elected in California to turn the tide on gun control. The masses are convinced guns only equal bad.  They already tell u which &amp; how many guns you can buy.  Now ammo. What’s left?,OFF,0
3971,6707,2178,63238,@USER @USER Conservatives historically go by the constitution . Part of the reason for the name . The libs like to make to make it up as we progess(ive),NOT,0
1021,1727,7339,45090,@USER This is one of the soros contacts for antifa activists URL,NOT,0
3790,6408,3083,10642,@USER @USER Keith did you talk about ANTIFA &amp; your support? URL,NOT,0
4135,6981,10842,69736,@USER This is the kind of thing that liberals want. A totalitarian society where tweets are grounds for examinations.,NOT,0
2825,4760,8898,79594,"@USER @USER @USER @USER Much of the data"" being put out by gun control groups is false and misleading. Needlessly scaring parents is not helpful at a personal or policy level, as this SUNY report illusterates. URL",NOT,0
3535,5987,10991,97825,@USER your dog — she is sooo unique and adorable 😘💕,NOT,0
3195,5398,1054,40000,@USER Unless you live in Sweden the Gang Rape capital of the world. Where 1 million migrants were welcomed with open arms. Not vetted thanks to the liberals in power .,NOT,0
3807,6443,11568,41643,@USER Since I cant do it can you PLEASE  call @USER  and tell her none of this is her fault bc honestly ppl r being so vicious to her rn and I just hope she is okay🙏 URL,NOT,0
1497,2568,7046,26975,@USER She's a Liberal professor dog. Always spewing her hatred against us Conservatives. You're going to HELL with the rest of the Sleaze BAGS.,OFF,0
3985,6729,3665,75998,@USER @USER Let's focus on gun control laws and then focus on the border wall and get the money from Mexico,NOT,0
1122,1905,10313,49109,@USER Oh well. Its tje liberals and socialists who have made drug addiction fashionable and doable with “free” supplies. How bout some $$$ for diabetics who face ongoing supply costs? No?  But we forced to pay for these losers?,OFF,0
1683,2868,729,65915,@USER  I think he could be called a turncoat  talking out of both sides of his fucking mouth  Lindsey Graham can no longer be trusted URL,OFF,0
4958,8401,5936,36350,@USER Please watch the story of Welles Crowther. He is a hero.  You are simply an asshole. Be ashamed,OFF,0
3301,5586,11338,45317,@USER Do you happen to know what study Qu’ran she is using in the film?,NOT,0
844,1424,2173,64650,@USER This woman is going to be so rich .. she is already a hero to half the country and 90% of the media and acedemia because she might stop Trump from giving the court a conservative majority .,NOT,0
1886,3224,4964,28684,@USER If you are looking for hard heads you only have to look at the Republican Congress,OFF,0
2645,4461,11579,40482,@USER @USER @USER @USER @USER @USER Sorry about your son. I am sure he would not want you to be hateful.  I am not going to question your support for Trump. You have your reasons and that's fine. I think you are above jumping on the hate bandwagon though. Just an observation.,NOT,0
110,179,6022,85653,@USER And I’ll never watch another movie with him in it,NOT,0
5473,9294,9999,93360,@USER Hope you blisters,OFF,0
912,1539,10536,20694,@USER Foolish to think that,NOT,0
3524,5962,621,82801,"@USER @USER @USER However if by at the top"" you mean Senior Engineers generally, then you are *once again* confusing individual competence - which surprise surprise hasn't changed - with organisational structure and competence. Good people thrive in a structure that allows things to get done""",NOT,0
2836,4787,1406,74603,@USER Hello... the problem with more gun control is the only people that guns are being taken away from or ‘controlled’ as you say are people like me who has the legal right to carry a gun. So before you continue to scream gun control... look at who it would affect.,NOT,0
5471,9291,1097,82016,"@USER They've morphed into Antifa. Antifa gets better coverage and that all important Soros cash! ie: I'm so upset about you know racist stuff and Trump and children in cages and everything the like that, ya know?""""",NOT,0
855,1438,7438,85841,@USER He is definitely an adorable little guy.,NOT,0
2636,4444,7231,32894,@USER it’s like saying you’re pale! you live in the north pole! bitchass dipfuck,OFF,0
3616,6105,2321,45735,@USER Breitbart has become neocon Establishment and is Fake News the worst of the lot is Alex Marlow a total loser . Watch or listen to Fault Lines with Stranahahn and Nixon instead probably the best show of its kind. Stranahahn fired by Breitbart for being too good.,OFF,0
2872,4845,7158,93447,@USER @USER Kyle long is fine. I bet he is just getting rest. Please at Brown over Sims.,NOT,0
532,902,6939,23573,@USER Come on @USER  you can do better. This has nothing to do with your Agents. Any subscriber with cash can sell or buy cash at whatever rate. You are just a conduit. Its the Law of Demand and Supply at play.,NOT,0
3000,5073,2612,90255,@USER I think she is my favorite. God I need to get back to that game! But Dragon Quest 11 has me right now 😂,NOT,0
235,397,11012,91393,@USER @USER why don't ask Antifa how safe people feel ?,NOT,0
174,291,8675,19662,@USER The Klan was the militant arm of the Democrat Party.  I haven’t seen a past member in public since Sen Byrd died.  Antifa is the new militant arm.,NOT,0
2125,3612,1870,69271,@USER @USER Liberals are the worst sexists.  Not all women speak truth especially political activists.  Try judging the veracity of the allegation by evidence instead of gender.,OFF,0
3117,5274,1691,86887,@USER @USER She is the CEO of ATMOS research &amp; consulting She profits by spreading gloom &amp; telling cities how they can combat climate change Snake oil salesmen are cheaper on taxpayers URL,NOT,0
3562,6029,10558,98538,@USER help! I already have a verify account but when I try to use it it wants further details (passport) which I don’t have with me. So I phone instead and after two minutes of pointless messages it tells me you are busy and hang up!!! What rubbish service.,OFF,0
2315,3917,7180,35483,@USER Fuck the wall. More American white or black men kill way more than any immigrant. Gun control would help way more.,OFF,0
4332,7312,3107,19813,@USER Don’t talk shit about 48 laws,OFF,0
758,1286,13126,32824,@USER She makes me sick.  She uses these confirmation hearings and investigations to campaign and for photo ops.  She is a junior Senator that is way out of her league.,OFF,0
2725,4606,9216,75717,@USER Yes she is!,NOT,0
1285,2209,3895,20838,@USER As he said in exchange for a 14 day jail sentence and that's the max both sides could get.,NOT,0
4247,7167,4096,73728,"@USER The perpetrator is responsible for his own actions but you are ignoring that Maxine Waters &amp; others are inciting violence.  Do consider she said that they should not be able to eat, shop or do anything in peace""... how would one survive without being able to trade?""",OFF,0
2234,3789,3846,77031,@USER Then I'm as crazy as you are cause I believe the same outcome will happen this Sunday 49ers 27 KC 17 Niners baby👍👊,OFF,0
3212,5427,863,45523,@USER So will this all be hidden like the liberals hid everyrhing about the failed Nipigon bridge?!?! Huh? Our money and we are barred from the truth sickens me. They are communists,NOT,0
