,Sentence,Label,codemixed
0,Mr. Prateek Nishant.....secure method?,1,1
1,Sane ppl couldn't do anything so far ....at least he has the objectives and know what's to be done so that our country  leads towards a bright and  better future...,1,1
2,Moreover that idiot is fan of Terrorist Yakub Menon,2,1
3,Shame shame & then these lowly so called educated civilised popation of Pakistan claim Pakistani army to be professional soldiers .... They true are professionals but are professional terrorists ..... Certainly not soldiers .... Not only India & Indians but the global world is now understanding & recognising them as professional terrorists.,2,1
5,What a covering Ã°Å¸Â¤â€Ã°Å¸Â¤â€Ã°Å¸Â¤â€Ã°Å¸Â¤â€,1,1
6,He is pimp of bjp,2,1
9,Congratulations Jitu.   Excellence through hard work is your moto.  You are able to achive it.   Thanks,0,1
13,GAURAV REPLY,0,1
14,Shri Vaishak S  are we living for tit for tat? its same everywhere in the country as well around the Glob. NE just an example of our own.,2,1
15,Anthony.... not all u read is true.... everybody has a viewpoint... you speak what you feel and i will say what i feel. . you are right coz thats ur viewpoint and i am right coz this is my viewpoint... Every individual should speak for themselves. let not make other speak what we feel is right or wrong... let people decide if the country is changing for good or for bad.,1,1
17,You are too good......,0,1
20,Arjun reddy aka kabir singh is a master pieceÃ°Å¸ËœÂ.,0,1
21,He is bought up by bjp,1,1
22,"[0:30](https://www.youtube.com/watch?v=N_ZMfQMZos0&t=0m30s) yes yes you are
Ã°Å¸Â¤Â£Ã°Å¸Â¤Â£Ã°Å¸â€˜Â  
Love ya bro. ",0,1
23,"Hai cnbc tv 18.....brain game do watch National geographic channel there by you can recognise true and false facial image created examples actors , false smiles , etc.........muscles of your face . your brain is also highly adopt at recognizing what other peoples' faces are saying...now match your candidate also ...this comments in totality not for any particular subject please . ",1,1
26,So that Modi doesnt have to campaign separately... Feku and his never ending gimmicks,1,1
29,Sirish Bundar is very intelligent .. no wonder SRK had to slap some sense into him,2,1
30,Are fucker Holly ar fresh ki same ???,0,1
33,"Kumar Gaurav
It's good for you atleast you wake up at 5am in morning ",1,1
35,When the theater is almost house full and u wanna watch bahubali 2 :p,0,1
36,Burnol plz,1,1
39,"Such a great video shwetabhbhai keep making this kind of videos,i hope this
video gonna viral so, people could understand what's the reality ",0,1
43,so??? is this news,1,1
44,People don't have rs.500 change whts logic of making a rs. 2000 note,0,1
45,If u have someone in ur mind as bheema.. Plz mention... Let me know...,1,1
46,"Bharat Mahendru So if anyone speak against Cow is a Muslim? Ã°Å¸Ëœâ€š My Hindu friends eat cow and don't care what she is for them. They call her animal only. Apart from that Hindus kill her, slaughter her, smuggle them to Pak and Bangladesh via Assam and Kashmir with the help of BSF soldiers, kick her on roads, force them to eat plastics and garbage, let them die on roads bla bla bla bla. Isn't enough that many Hindus don't care about her? Even those who worship her? ",1,1
47,"I hope Sonu Remembers Shahbaz Ali Sayyed...the boy who helped him when he was in disguise as a Street Beggar! 
I hope that was not Gundagardi but compassion.. Had lot of respect for Sonu Nigham but I pity his illogical and baseless comment that should have no place in a country like India. ",2,1
51,He has also bashed temples...then why are people conveniently ignoring that part to religiously colour his argument ?!,2,1
53,"Suar,indian army Air Force have muslims, Sikhs Christian, paarsies etc as officers soilders etc(not like Punjabi (naqli) sunni(again naqli) hijdaa(asli) so called army. ",1,1
56,Through dialogue it can't be resolved...it can be resolved only with the help of Forces.....,1,1
57,Where is the proof suckers..stop creating a nuisance ...they would have been eaten by wolves or lions and u media puppets find evrythng as an opportunity to make money ..,2,1
59,"Prateek Nishant come on be logical and practical, I think you still believe modi's false statement, that baggers are using PoS machine, grow up bhakt ",2,1
60,"Blady pofk, brainless pig is more better then this fatty ",1,1
61,Haters gonna hate...@pseudo seculars....Pseudo seculars are  the most dangerous people now. Days...Indian Express is the most vulnerable to people's unity...It's the most pseudo secular news channel..,2,1
62,kohli...anushka kya deepika b lele..bas 350 k paar pahuncha de #indvspak,0,1
63,"ARUNDHUTI ROY  
ADDRESS. GOLI NO 2 , G B ROAD. OLD DELHI . ",0,1
64,"Arjun Reddy and Kabir Singh both are worst movies, nothing so realistic ok... ",0,1
65,"Hi anuj,
View on delta? 
Demonetisation over for the stock ? ",0,1
66,Screw both of them trollops,2,1
70,Awesome explanation sir... Bigg fannn Ã°Å¸ËœÂÃ°Å¸ËœÂÃ°Å¸ËœÂÃ°Å¸ËœÂ,0,1
71,Please ignore bjp.,1,1
75,Where will we ride like this in India in DONGRI...40 CC banao,1,1
77,Indian Express who u r to decide this...this is not your work,1,1
79,"Dont worry the day we will kill you , we will own it and put it on first screen of your porki news channel ... ",2,1
80,"AND REMOVES THE FAITH OF THE NAME  FRIENDSHIP 
SHAMEFULL ",0,1
81,"Well said Arnab, well sais Madhu Kishwar, well said Nupur!!! I guess it's time
we stop giving this ""fringe lunatic"" and fake liberal leftist this woman
called Arundhati Roy any media attention. Everything about her is so fake that
I feel that she does everything only for media attention. ",0,1
82,"Half of the movie is copied , even with dialogues from danzel washingtons
flight...... ",0,1
