,Unnamed: 0,id,sentence,label,codemixed
0,5952,13868,@USER @USER He is a joke.,NOT,1
1,1540,24631,@USER @USER @USER @USER @USER @USER I will admit she hasn’t charted and I blame that on the fact that she is an artist she does things her own way and sometimes not following the trends or staying in a mold will cause you to fall out of the “relevant spotlight”,NOT,0
2,11515,63799,Keep Texas RED #Cruz 🇺🇸 We are the MAGA CAMPAIGN,NOT,1
3,3849,76330,@USER @USER Oh shit the mafia have finally found me,OFF,1
4,11621,18315,@USER get your shit together,OFF,0
5,1558,59711,@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER We already established that in the war you are still living. Thats why it isnt happening again,NOT,1
6,4548,79816,"@USER @USER I wouldn't say cowardly. She is brave! I mean He"". :)""",NOT,0
7,853,30198,@USER Check in at the Fake Shooting. URL,NOT,0
8,4535,27795,@USER Fast and furious criminal should be behind bars.,OFF,0
9,716,16085,@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER He is one of @USER strongest supporter in Washington. The Primary is over The President &amp; Senator Have put the past to rest. Ask yourself are you Supporting our POTUS By talking about fellow conservatives,NOT,1
10,3502,92027,@USER Where is the fascist version of Antifa?,OFF,0
11,6510,94169,@USER @USER SHE IS A FUCKING MESS!! I HATE HER SO MUCH,OFF,1
12,3960,96037,@USER he is doing it to everyone he don’t like,NOT,1
13,1740,70473,@USER you are a traitor URL,OFF,0
14,5634,93827,@USER shit!! i left a little bit ago to get food but if you're still there i'll drop down with all the paper your heart desires!,OFF,0
15,5811,30080,"@USER @USER @USER @USER @USER Brad, the God of Scripture does not have a sense of justice."" He is just and a consuming fire. He remains today what he was then but as all theonomists forget 1/2""",NOT,1
16,829,63063,@USER Well duh. That’s who he is. He defends other abusers so they’ll defend him.,NOT,1
17,7854,54287,@USER @USER @USER We’ll be there opening night! 🙌👍,NOT,1
18,2877,18604,@USER Those pesky Antifa Supersoldiers are at it again.... 😧,NOT,1
